nullsmokedPerDay0,smokedPerDay1,smokedPerDay2,smokedPerDay3,smokedPerDay4,smokedPerDay5,smokedPerDay6,smokedPerDay7,smokedPerDay8,smokedPerDay9,smokedPerDay10,smokedPerDay11,smokedPerDay12,smokedPerDay13
0,0,66,66,12,12,0,55,55,42,42,62,62,66
12,12,67,67,67,13,12,28,41,44,49,65,65,11
13,13,65,65,66,57,23,23,29,30,30,30,65,65
12,12,12,11,11,70,12,30,30,30,30,62,62,62
0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,11,11,65,54,13,13,46,12,50,50,50,11
0,0,12,12,66,66,56,58,52,57,57,67,43,12
0,0,61,61,61,61,61,61,61,61,61,61,61,61
0,0,61,61,12,12,0,0,0,47,49,49,58,61
0,0,49,66,66,66,18,18,18,36,36,36,36,49
12,12,70,70,12,12,70,70,70,70,70,70,70,70
12,12,59,59,68,12,12,12,29,41,41,12,65,12
0,0,63,67,67,12,0,18,31,56,56,13,67,67
10,10,12,12,12,12,33,33,33,33,33,12,12,12
0,16,62,59,12,69,48,48,12,12,12,12,12,12
0,0,62,70,68,68,37,37,37,37,37,37,62,62
0,0,57,11,11,11,0,33,33,45,57,57,57,57
12,12,12,12,12,12,12,12,12,12,12,12,12,12
13,13,56,56,68,68,13,13,13,56,56,56,56,56
13,15,15,15,15,15,15,15,15,15,15,15,15,15
13,13,12,13,12,12,13,13,13,13,13,13,70,70
0,0,12,12,64,12,25,25,25,34,34,34,61,12
0,0,47,47,47,47,26,26,31,47,47,47,47,47
13,13,68,68,59,59,62,62,62,62,62,12,12,12
14,14,14,67,67,63,14,14,14,14,14,14,14,14
0,0,57,57,66,66,34,34,34,36,36,36,36,36
0,0,70,64,12,13,60,60,12,12,12,12,12,70
0,0,12,12,11,11,57,57,57,57,55,55,55,12
0,0,60,61,12,12,22,22,30,30,30,30,59,59
0,0,62,62,67,67,0,23,23,23,48,48,48,48
0,0,66,12,12,63,0,32,32,38,38,38,64,66
0,0,66,66,66,66,24,27,27,27,27,66,66,66
11,11,67,67,62,62,11,11,57,57,12,12,67,67
11,11,68,68,68,67,11,43,43,43,43,13,50,50
0,0,52,52,62,12,0,0,28,40,40,40,61,52
13,13,12,50,12,12,17,17,17,17,17,57,57,12
0,0,12,13,13,11,23,23,34,32,50,50,12,12
11,11,22,56,56,56,11,11,28,28,22,22,22,22
0,0,52,12,12,12,23,23,23,23,52,52,52,52
13,13,12,12,12,13,13,22,30,68,62,62,62,12
0,0,56,12,12,12,0,0,0,0,0,0,64,64
0,12,12,12,67,67,22,22,22,12,12,12,61,12
13,13,13,13,13,11,13,13,25,42,62,62,12,12
11,11,11,57,57,52,11,23,23,23,37,37,11,11
13,13,12,68,68,68,18,38,38,38,68,68,51,12
12,12,64,64,61,61,12,12,12,12,12,12,64,64
12,12,21,21,62,62,21,21,21,21,21,21,21,21
11,25,61,61,61,50,25,25,25,25,25,25,25,61
12,12,12,12,12,12,12,12,12,12,12,12,12,12
0,0,13,59,59,54,25,28,35,35,50,50,64,13
12,12,63,63,63,12,12,12,12,12,12,12,58,12
0,0,12,12,67,67,0,0,0,29,29,29,29,12
0,0,67,67,62,62,0,0,0,0,0,0,67,67
0,19,68,68,12,12,46,46,46,46,46,68,68,68
11,11,54,12,12,12,11,43,43,54,54,54,54,54
12,12,12,12,68,68,19,19,19,42,54,12,12,56
0,0,13,13,13,12,29,29,29,29,29,29,12,13
