nullinfluenceability0,influenceability1,influenceability2,influenceability3,influenceability4,influenceability5,influenceability6,influenceability7,influenceability8,influenceability9,influenceability10,influenceability11,influenceability12,influenceability13
0.9515692941974083,0.9572930025476709,0.9640132262431481,0.9640132262431481,0.9640132262431481,0.9640132262431481,0.9640132262431481,0.9640132262431481,0.9640132262431481,0.9640132262431481,0.9640132262431481,0.9640132262431481,0.9640132262431481,0.9640132262431481
0.8476927974029711,0.8468451046055682,0.8468442577604636,0.8459974135027031,0.8459974135027031,0.8459974135027031,0.8468442577604636,0.8468442577604636,0.8468442577604636,0.8468442577604636,0.8468442577604636,0.8468442577604636,0.8468442577604636,0.8468442577604636
0.7408674697017491,0.7475620104842841,0.7528069055049252,0.7520540985994203,0.7520540985994203,0.7520540985994203,0.7513065523288652,0.7513065523288652,0.7513058010223129,0.7513058010223129,0.7513058010223129,0.7520571068233353,0.7520556027098737,0.7528069055049252
0.4778286260861552,0.48214632574934096,0.4918774770190004,0.49632212328109077,0.4993070114790061,0.49830889676305956,0.4826279894466182,0.4850459605024393,0.48601605145286714,0.4860150794212502,0.4860145934061708,0.48504305023395183,0.48504305023395183,0.4894259400406586
0.3894158148942181,0.3921495248238647,0.3921495248238647,0.3921495248238647,0.3925416743486886,0.3960887139411137,0.3921495248238647,0.3921495248238647,0.3921495248238647,0.3921495248238647,0.3921495248238647,0.3921495248238647,0.3921495248238647,0.3921495248238647
0.6722427209922961,0.6762855981277324,0.6913170017878918,0.6913170017878918,0.6913170017878918,0.69131631047089,0.6762855981277324,0.6783164844551955,0.6796724363936785,0.6830769190225322,0.6830769190225322,0.6830769190225322,0.6851268294377197,0.6892478810296051
0.32632172226112865,0.32632172226112865,0.33827554484749234,0.33827554484749234,0.3409912398886568,0.34167288001288904,0.32697469202737317,0.33025919211449833,0.33091970983787866,0.3325776208950185,0.3322450432741235,0.33457774736316315,0.3372634190150313,0.3386141590064988
0.46316206459681136,0.46734723597653843,0.4854355552624555,0.48495011970719304,0.48495011970719304,0.4893321697858421,0.4706280266653526,0.4706275560373259,0.4706275560373259,0.47440578044530707,0.47678208136921024,0.4786915936027081,0.48012814467925885,0.48446662298590143
0.9267041043755095,0.935077880622673,0.9416412118977492,0.9416412118977492,0.9416412118977492,0.9416412118977492,0.9425837956934426,0.9425837956934426,0.9416412118977492,0.9416412118977492,0.9416412118977492,0.9416412118977492,0.9416412118977492,0.9416412118977492
0.24030643415621877,0.24030643415621877,0.2444240003449803,0.2444240003449803,0.2444240003449803,0.24417957634463533,0.24030643415621877,0.24030643415621877,0.24078728733096535,0.24199339205593648,0.24199339205593648,0.24272009845427384,0.2444240003449803,0.2444240003449803
0.8847961664868296,0.8883397751291818,0.8918975759241289,0.8945759452365266,0.895469625711242,0.895469625711242,0.8883397751291818,0.8883397751291818,0.8883397751291818,0.8883397751291818,0.8883397751291818,0.8883397751291818,0.8883397751291818,0.8918975759241289
0.9471205528326827,0.9547240897359258,0.9537684118768243,0.9537684118768243,0.9537684118768243,0.9537684118768243,0.9547231350118361,0.9547231350118361,0.9547231350118361,0.9547231350118361,0.9537684118768243,0.9537684118768243,0.9537684118768243,0.9537684118768243
0.8636335898237899,0.8714374555955859,0.8784298906223074,0.8784298906223074,0.8784298906223074,0.88371366399618,0.8714365841581303,0.8714365841581303,0.8714365841581303,0.8714365841581303,0.8714365841581303,0.8705651475739722,0.8714348412858335,0.8784298906223074
0.11593408836322805,0.1169816785387639,0.12671929384576705,0.1278643400453607,0.12889071324576343,0.12927764290875896,0.11815677356208287,0.11934367255616955,0.12018146848080583,0.1215100944845189,0.12260806992045455,0.12359225078804294,0.12421132498958243,0.12545904268057748
0.025012470247125662,0.025238485032480915,0.027641673508872207,0.027891445996085288,0.028199790542877676,0.028341043434564648,0.025492008648556833,0.025748078939832372,0.026006721487966053,0.026294230093718802,0.02653182696887736,0.02679834236017735,0.02709460246555144,0.0273667710043669
0.12284476336443784,0.12284476336443784,0.1234600933977388,0.1234600933977388,0.1234600933977388,0.1234600933977388,0.12284476336443784,0.12284476336443784,0.12284476336443784,0.12284476336443784,0.12284476336443784,0.12284476336443784,0.12284476336443784,0.123213666311666
0.7749512844484963,0.7811726368116106,0.7811702932960438,0.7803891230027478,0.7835145814364686,0.7835145814364686,0.7819530274946129,0.7819530274946129,0.7819530274946129,0.7819530274946129,0.7819530274946129,0.7819530274946129,0.7811710744671183,0.7811710744671183
0.8207025382221258,0.8248134413354821,0.8256366035011335,0.8256366035011335,0.8264614136423946,0.8264614136423946,0.8239886278941466,0.8239886278941466,0.8239886278941466,0.8239886278941466,0.8239886278941466,0.8256366035011335,0.8256366035011335,0.8256366035011335
0.5333443242414212,0.5381636684234584,0.5623557996019627,0.5640434265419779,0.5668687228829185,0.5668687228829185,0.5435695871655625,0.5473854608950155,0.5506774447202268,0.5512275709368248,0.5545426612656172,0.5550972039268829,0.5573203682258323,0.5573198109054641
