nullstepsSinceGiveUp0,stepsSinceGiveUp1,stepsSinceGiveUp2,stepsSinceGiveUp3,stepsSinceGiveUp4,stepsSinceGiveUp5,stepsSinceGiveUp6,stepsSinceGiveUp7,stepsSinceGiveUp8,stepsSinceGiveUp9,stepsSinceGiveUp10,stepsSinceGiveUp11,stepsSinceGiveUp12,stepsSinceGiveUp13
0,9,1,10,7,16,19,5,15,26,35,45,56,66
0,0,19,28,6,15,0,0,0,0,5,8,19,9
0,9,15,24,1,10,19,5,15,3,12,22,9,5
0,0,12,21,32,6,0,6,5,1,10,4,15,2
0,0,7,16,5,14,9,1,11,10,4,14,25,35
0,0,8,17,28,5,1,11,21,7,16,26,37,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,20,4,15,5,0,0,3,4,13,23,34,10
0,9,8,17,7,7,1,6,9,8,5,15,5,6
0,9,85,94,105,114,4,14,24,35,44,54,65,75
0,9,5,14,6,8,19,29,39,3,12,6,2,12
0,9,12,21,32,7,19,29,39,6,9,19,30,2
0,3,94,1,12,21,13,23,33,44,53,63,74,84
0,0,10,19,6,4,0,0,3,10,2,12,2,4
0,9,3,3,14,2,19,1,5,2,1,1,12,10
0,7,24,33,44,5,17,27,37,48,2,12,4,14
0,1,13,5,2,11,11,4,14,25,9,19,4,3
0,9,35,9,10,19,19,29,39,50,59,4,15,25
0,9,6,15,7,1,19,29,39,5,5,15,26,36
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,72,1,12,21,0,1,11,22,31,41,52,62
0,6,97,106,117,126,16,26,36,47,56,66,77,87
0,0,17,4,15,24,0,0,0,0,0,0,7,7
0,0,9,9,6,7,0,7,17,3,12,22,6,10
0,9,52,61,72,81,19,2,12,2,11,21,32,42
0,2,13,22,2,11,12,22,32,7,16,26,37,3
0,0,0,6,4,13,0,0,0,0,0,0,0,0
0,9,24,6,17,8,19,29,10,21,30,40,4,14
0,0,1,1,2,11,0,1,11,22,31,41,52,10
0,9,3,12,9,2,3,13,23,34,7,17,6,16
0,0,2,6,10,19,0,4,14,7,16,26,9,3
0,9,42,5,4,13,19,29,39,11,1,11,22,32
0,0,6,15,2,11,0,7,3,14,7,17,4,10
0,9,37,46,57,66,19,5,15,26,35,6,17,27
0,0,25,6,17,26,0,0,3,14,3,3,5,15
0,0,15,24,4,13,3,6,16,27,6,6,4,5
0,0,9,18,29,7,0,0,0,5,7,17,3,9
0,6,14,6,6,15,16,26,36,1,10,20,9,4
0,9,13,5,16,1,19,29,3,8,3,13,7,3
0,0,55,9,20,29,0,1,11,5,14,24,35,45
0,9,1,10,21,30,19,29,39,50,3,13,24,34
0,5,2,11,22,2,15,25,2,3,5,8,19,29
0,0,3,12,23,32,0,0,0,0,0,0,0,0
0,7,1,10,4,13,17,27,37,2,5,15,6,10
0,6,11,7,18,6,16,26,2,3,6,16,27,1
0,5,5,1,12,21,15,25,35,2,11,9,20,30
0,0,18,4,15,24,6,16,26,4,13,6,17,8
0,5,23,32,1,10,8,18,28,39,48,58,3,13
0,0,91,2,13,22,10,20,30,41,50,60,71,81
0,3,21,2,13,22,13,23,33,44,53,63,1,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18,27,7,6,0,8,8,4,13,10,1,8
0,0,15,24,8,17,0,0,0,10,19,29,10,5
0,0,19,28,3,12,0,0,0,10,19,29,40,9
0,9,27,36,4,13,19,29,39,50,59,69,7,17
0,9,40,4,8,8,9,19,9,20,29,9,20,30
0,8,40,3,14,23,18,1,11,22,31,9,20,30
0,7,4,5,1,10,17,27,9,7,16,2,13,2
0,0,19,28,1,8,0,0,0,0,2,12,23,9
