id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxInDegree,maxOutDegree,cigLimit
n0,false,0.3353398199709637,0.6976217215783418,34,true,10,0.45118287584237643,0.1998015296218047,0.8079029536537637,10,10,70
n1,false,0.41240002142057053,0.5959300533321197,48,true,2,0.31297929759668147,0.7045100112690851,0.8005041203825217,10,10,70
n2,false,0.059125074141477905,0.5037271499455157,61,true,6,0.5890609705236891,0.801231733274089,0.31187146059442017,10,10,70
n3,true,0.06497139054292372,0.17908538813348107,35,true,85,0.9363853468910863,0.48496616280018073,0.6855055898283433,10,10,70
n7,true,0.0,0.06690543065597164,40,true,152,0.9132791205264551,0.06137278723687406,0.7526991060050472,10,10,70
n15,true,0.5145217221743832,0.020904012226085872,42,true,394,0.36697528489175163,0.7952236731480606,0.6190110675965377,10,10,70
n23,false,0.09747851549305779,0.9938842797164886,11,true,470,1.3674769274431766,0.8813064560068302,0.9907549510375823,10,10,70
n25,false,0.45005525205011454,0.5651957722314146,44,true,4,0.2664972209429281,0.004990957260746831,0.687814206354314,10,10,70
n29,true,0.0,0.10219821685736132,12,true,206,0.5613649758737156,0.9394385975395726,0.2872498366262116,10,10,70
n32,true,0.3381984782509302,0.6131054966952606,51,true,9,0.4644743349503084,0.6428756061784707,0.7001055375303713,10,10,70
n33,false,0.14592198173591864,0.9936713801667725,39,true,327,0.7788008301110373,0.26166356241141053,0.6749112509805302,10,10,70
n38,true,0.06860089106116886,0.11900459901503703,12,true,26,0.8533310758072498,0.1276934257556257,0.6591939809309368,10,10,70
n40,true,0.6058528113277372,0.005385923124622468,12,false,0,0.31670455875277725,0.7749774765333809,0.49695745257712703,10,10,70
n41,false,0.766858460101475,0.9925639753530712,0,false,0,0.7665531731248387,0.32851230946864207,0.4655528788085834,10,10,70
n43,true,0.8613042093068135,0.003515538026841374,12,false,0,0.6350978809365339,0.434150392536928,0.2391616702566327,10,10,70
n44,false,0.3581822505636546,0.4771747292198316,45,true,9,0.4664414194383383,0.35969510535906857,0.7625577815950488,10,10,70
n45,true,0.21801017797371455,0.41896417253285584,55,true,14,0.6161337815277458,0.6368858767161645,0.844404910160437,10,10,70
n54,false,0.31453438590821337,0.9930886994712523,15,true,489,0.6041199912364617,0.8917281218321158,0.5415123755288138,10,10,70
n63,false,0.04032459397188365,0.9914094316463309,12,true,329,1.2760235133748918,0.5719114987164735,0.8100138767722194,10,10,70
n64,true,0.0,0.1727692777597898,12,true,190,0.06320982639520324,0.8893550505288437,0.939505099794864,10,10,70
n68,false,0.7569483307076956,0.9922127697108049,0,false,0,1.4383615426180094,0.9013537705801689,0.8432362905789796,10,10,70
n74,true,0.061779898999640634,0.17307512585943677,69,true,57,0.9492262143306396,0.272537959304187,0.6893464527572846,10,10,70
n75,true,0.009284509291018294,0.007961785310289135,31,true,152,1.0318593437896966,0.5886307903935579,0.447809971549319,10,10,70
n76,true,0.4603834863702013,0.5267590411396356,31,true,6,0.541236441322863,0.9661081085775844,0.5088667807348989,10,10,70
n77,true,0.0,0.008322591283729553,33,true,370,0.38545650644805823,0.44953595350161146,0.2936625590219096,10,10,70
n79,true,0.43799636220130306,0.025642594785937937,60,true,304,0.5138501988565047,0.6456628788598756,0.878297699913835,10,10,70
n81,true,0.028280873079278436,0.38863101645534504,12,true,24,0.9289803216658775,0.5756712775450142,0.9973208546115662,10,10,70
n84,true,0.24542189644665507,0.005813386297656902,24,true,456,0.6742643790481402,0.19455946596227475,0.9996326082886252,10,10,70
n88,false,0.552425150000778,0.9941305665966849,13,true,403,0.25610282311915683,0.556991711480781,0.6700522758520826,10,10,70
n90,false,0.0,0.9905528871117116,70,true,229,0.6261424040707447,0.4985000396325753,0.5564929009087196,10,10,70
n97,true,0.04547834815985463,0.12601448681788774,51,true,15,0.9650730814386977,0.9012782726916346,0.4824658619658612,10,10,70
n99,false,0.17126182473490106,0.9994125853166215,12,true,236,0.18173450861855664,0.928262132750785,0.531616173348763,10,10,70
n101,false,0.3483800476950066,0.9943906243655044,60,true,394,0.7716340118210158,0.5280283870748617,0.4536257659179001,10,10,70
n107,false,0.45694148749535135,0.9935624531524171,26,true,443,0.6867657889157999,0.48486783676282336,0.7504326121078693,10,10,70
