id,isSmoker,willpower,health,smokedPerDay,stress,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,maxInDegree,maxOutDegree,cigLimit,giveUpStepLimit,$SWITCH_TABLE$simconsts$Operations
n0,true,0.5390236781887079,0.6085436332455586,13,0.6083341011672715,false,0,0,0.534373433658893,0.6746420215678588,10,10,70,50,null
n1,true,0.7237339726400466,0.6143174525070457,10,0.5331119077172082,false,2,4,0.6244240002034682,0.4694043696439158,10,10,70,50,null
n2,true,0.17795969759280025,0.6291264512479896,12,0.7606921878308207,false,4,1,0.8718523243447722,0.1573932486246848,10,10,70,50,null
n3,true,0.7434013177244332,0.9217355792573436,12,0.6064366717944293,false,3,6,0.08032515357149705,0.852463608505948,10,10,70,50,null
n5,true,0.9576114947966826,0.7539697943451784,11,0.8684068512791129,false,53,7,0.5476671187574454,0.6920427223335459,10,10,70,50,null
n8,true,0.9890749137902892,0.5574142244686985,13,0.2801305063688604,false,0,1,0.2263312221341907,0.39139527873994184,10,10,70,50,null
n13,true,0.4106799076674578,0.15954787247729374,13,0.7041947420222802,false,1,2,0.886872972369038,0.8935682088161523,10,10,70,50,null
n14,true,0.9795658752961395,0.4548038829900177,10,0.5050103986007656,false,1,3,0.3026091940383865,0.7241085889679801,10,10,70,50,null
n16,true,0.9852681706251273,0.6452145990146514,11,0.10118011310932884,false,50,1,0.6865035091112202,0.5816330443361633,10,10,70,50,null
n17,true,0.9895400953974682,0.5693404786475686,13,0.32533743757994815,false,50,1,0.04356595204658098,0.46322354940329913,10,10,70,50,null
n18,true,0.8497372478365839,0.8013147618594951,11,0.9295067031176962,false,3,6,0.5590548489791299,0.3442980798710536,10,10,70,50,null
n19,true,0.9730369682419941,0.7112815621284728,11,0.23617801444102282,false,1,2,0.04818827474155207,0.4383964656202749,10,10,70,50,null
n24,true,0.3177816943918657,0.7544713672240068,12,0.8991142142134849,false,2,4,0.2719270035491047,0.5262099008820285,10,10,70,50,null
n27,true,0.9770337933029631,0.43386007017361455,10,0.4939087298353544,false,51,3,0.4937859463106788,0.7813517409237276,10,10,70,50,null
n31,true,0.7150069979828554,0.7432334476282499,13,0.816224593946012,false,0,0,0.19491264602564845,0.9105265541840228,10,10,70,50,null
n34,true,0.5236751958758331,0.6008469408686867,13,0.14549219809117309,false,0,0,0.4166385337995223,0.9306297059627996,10,10,70,50,null
n35,true,0.3149501803005781,0.758018512218274,11,0.24353668730652095,false,0,0,0.9603363454634357,0.5867354484537971,10,10,70,50,null
n42,true,0.7554606130116072,0.8494524544690722,11,0.6892822697246519,false,1,2,0.003710168351601595,0.27370783244595465,10,10,70,50,null
n44,true,0.024555579147680324,0.7706809388800289,12,0.03326528722568323,false,2,4,0.13610904936833418,0.912340698301263,10,10,70,50,null
n47,true,0.954400985759798,0.7360732091450951,12,0.2888366019106149,false,2,5,0.7155206644262065,0.6618160734765526,10,10,70,50,null
n48,true,0.5588873396860953,0.6486579638256526,12,0.8840530574947087,false,0,1,0.30153199835754063,0.9222858360395346,10,10,70,50,null
n49,true,0.9140891337779259,0.692218116080838,10,0.14320743535907637,false,2,4,0.20718167640955804,0.6621831099428367,10,10,70,50,null
n58,true,0.775097872329156,0.8486983922324478,11,0.6686459994934731,false,2,4,0.8589746334361898,0.7109959319483593,10,10,70,50,null
n59,true,0.6902557958600686,0.793911804915975,12,0.09059239539803832,false,1,2,0.6790536989234583,0.6411078719039447,10,10,70,50,null
n63,true,0.6603747426858656,0.6513488748280407,10,0.9565755904440727,false,3,6,0.981889256479379,0.8937565776546379,10,10,70,50,null
n65,true,0.15647240086862962,0.9438769856335794,15,0.5083284679226555,false,2,5,0.48759738535459995,0.4542494417203554,10,10,70,50,null
n66,true,0.9879471389156887,0.7472953805743473,12,0.3228458980136508,false,50,3,0.4039971693264159,0.6908243373043825,10,10,70,50,null
n68,true,0.21031273264798797,0.938340369564874,11,0.7983366442360176,false,4,9,0.4220347339465771,0.3835062367996025,10,10,70,50,null
n69,true,0.5189204999245325,0.8851895179692579,12,0.4772311860461741,false,0,0,0.12975255337883473,0.5421029196017187,10,10,70,50,null
n83,true,0.8051270479553111,0.6103756409603337,10,0.6685512365665107,false,1,2,0.7428179060457268,0.9007147131489472,10,10,70,50,null
n87,true,0.33761078533359185,0.9568332997274327,12,0.4050463523150374,false,2,5,0.06131216157428354,0.758838762898166,10,10,70,50,null
n97,true,0.06292668315410622,0.4446021044802867,9,0.27096736593772075,false,0,1,0.8920110540364786,0.15719995480652316,10,10,70,50,null
n108,false,0.9959139430491578,0.6902962715156183,0,0.6484681120024157,false,50,2,0.3993588266229736,0.0460126437184325,10,10,70,50,null
n109,true,0.9895038541237449,0.9759666206417752,12,0.6356108628029695,false,0,1,0.1488355221478,0.45763832014988814,10,10,70,50,null
n111,true,0.7823113865912368,0.7875050976195295,11,0.9616693341925531,false,2,5,0.9519280711204829,0.2898458036723999,10,10,70,50,null
n112,true,0.9558476497092872,0.8356274542301709,12,0.7015615811731637,false,3,7,0.6723595506990383,0.5359902781569588,10,10,70,50,null
n113,true,0.17097744048727517,0.7620089493714788,11,0.5851113452459598,false,1,2,0.7247163856467043,0.709450872369219,10,10,70,50,null
n117,true,0.7220548883450681,0.5728312857539541,13,0.06564840391298021,false,0,0,0.4734731012957031,0.233890561170446,10,10,70,50,null
