rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n0,true,0.7771457452988876,0.746446853383712,7,15199,false,0,0,0.4980477120012749,0.4450878813640151,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n1,false,0.15311807916969175,0.7542458758323816,0,15199,false,500,0,0.24486701391518495,0.219915457707192,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n2,true,0.6109475866438027,0.8003528173131926,6,14888,false,311,1,0.4121270694795848,0.8972759475418117,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n3,false,0.007967115766143312,0.734053548110419,0,6929,false,502,4,0.5144337102074323,0.07595471670217813,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n4,true,0.8518214808641591,0.7797815630082817,8,11878,false,0,1,0.3302299236162659,0.840575071327416,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n6,true,0.46540732113002037,0.8436641981430812,7,15199,false,0,0,0.8462237315786152,0.7929599181749184,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n9,false,0.4856105563681223,0.3467547303406848,0,15199,false,500,0,0.6984883332339332,0.36557837127056514,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n10,true,0.4284497721532526,0.6052875139547479,5,9646,false,500,2,0.6179265606682179,0.4620361204540254,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n12,false,0.8847485746528404,0.46931172469547855,0,13513,false,501,3,0.08411280914527236,0.5597288968719627,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n13,false,0.8308409243542328,0.770227106546004,0,4934,false,502,4,0.032908705347140965,0.05722521380729462,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n15,true,0.29436786404346726,0.7453848249619409,7,3293,false,500,2,0.3777788934913462,0.8952486235541306,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n19,true,0.5759397884501484,0.8660997797776264,4,12499,false,0,1,0.025086569532347502,0.8345130043941151,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n23,false,0.3434679003974437,0.6869305902518238,0,12309,false,501,3,0.7357288745401944,0.6071228680604048,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n26,false,0.666292354984059,0.7283967725978981,0,1396,false,501,2,0.8628953556936059,0.5069426793701881,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n29,false,0.02853630530442628,0.6845589457431854,0,145,false,501,3,0.5402437750472555,0.7207749337085737,null
4017746,4841258,1548303,2451663,17780,991978,556325,1812812,0,13836,3944,705962,286016,551728,643448,806101,0,10416,3420,883,3061,154140,4687118,54157,96721,3262,20790,33367,7790,13000,23819,9548,95587,1134,43316,52271,1134,0,1,3261,1,0,3261,0,2364141,2322977,797400,1566741,1006871,1316106,n35,false,0.09516592303380615,0.9640997661167149,0,3777,false,501,2,0.06949560417371914,0.36943808839464876,null
