rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n0,true,0.7771457452988876,0.746446853383712,8,4900,false,0,0,0.4980477120012749,0.4450878813640151,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n1,false,0.1492614566151952,0.7542458758323816,0,4900,false,500,0,0.24486701391518495,0.219915457707192,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n2,true,0.6109475866438027,0.8003528173131926,8,4589,false,311,1,0.4121270694795848,0.8972759475418117,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n3,false,0.007553740020024838,0.734053548110419,0,211,false,501,2,0.5144337102074323,0.07595471670217813,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n4,true,0.8518214808641591,0.7797815630082817,9,1579,false,0,1,0.3302299236162659,0.840575071327416,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n6,true,0.46540732113002037,0.8436641981430812,11,4900,false,0,0,0.8462237315786152,0.7929599181749184,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n9,false,0.4520972609921615,0.3467547303406848,0,4900,false,500,0,0.6984883332339332,0.36557837127056514,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n10,false,0.4267180683018453,0.6052875139547479,0,4895,false,500,1,0.6179265606682179,0.4620361204540254,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n12,false,0.8768742126107989,0.46931172469547855,0,3214,false,501,3,0.08411280914527236,0.5597288968719627,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n13,false,0.8281202440805466,0.770227106546004,0,2733,false,501,2,0.032908705347140965,0.05722521380729462,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n15,false,0.28690477088467137,0.7453848249619409,0,1113,false,500,1,0.3777788934913462,0.8952486235541306,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n19,true,0.5759397884501484,0.8660997797776264,7,2200,false,0,1,0.025086569532347502,0.8345130043941151,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n23,false,0.31831263825073797,0.6869305902518238,0,2010,false,501,3,0.7357288745401944,0.6071228680604048,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n26,false,0.6098475380258538,0.7283967725978981,0,4900,false,500,0,0.8628953556936059,0.5069426793701881,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n29,false,0.02761854066373028,0.6845589457431854,0,4899,false,500,1,0.5402437750472555,0.7207749337085737,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n35,false,0.09449075150058367,0.9640997661167149,0,4900,false,500,0,0.06949560417371914,0.36943808839464876,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n36,false,0.4778494459839117,0.6715736316996999,0,4899,false,500,1,0.47895824116147556,0.47494003247339733,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n37,false,0.7363615202068435,0.594046994672088,0,4899,false,500,1,0.22258278951592947,0.9176479534733712,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n39,false,0.83445778653009,0.8209471485134687,0,4900,false,500,0,0.6282187731189162,0.8741847330930175,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n45,false,0.5154592926709403,0.5217542564532285,0,4900,false,500,0,0.5718414816600195,0.5195569796655163,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n46,false,0.12645368852703115,0.5737464924266803,0,1352,false,501,2,0.4548321788886257,0.8787689766806486,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n47,false,0.5099364889777556,0.6467698614541888,0,3880,false,500,1,0.2790971915137339,0.9147152123803776,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n49,false,0.23435677485387285,0.7182334817296608,0,4900,false,500,0,0.3207904885745507,0.863332926291588,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n51,false,0.14875723461027252,0.9004304758613412,0,4900,false,500,0,0.6206798048686,0.9598607358584166,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n52,false,0.6600378094207618,0.9219078914931441,0,4900,false,500,0,0.8720173555187944,0.708859716393244,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n58,false,0.08581657033607061,0.8370395112446256,0,4900,false,0,0,0.699463614448839,0.7601824542617892,null
3145844,3694556,1304978,1825848,15018,835116,469862,1357508,0,11662,3356,569345,265771,407805,530397,604800,0,8942,2720,707,2649,146249,3548307,54157,89088,3004,20790,33367,7790,13000,23819,9548,88182,906,37942,50240,906,0,1,3003,1,0,3003,0,1822297,1726010,616252,1206045,724701,1001309,n59,false,0.34279788704471653,0.6185075822701207,0,3660,false,502,5,0.5919149350998865,0.7381795607166244,null
