rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1b2a,rtA1b2b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n0,true,0.8149425904683112,0.746446853383712,9,9253,false,0,1,0.4980477120012749,0.4450878813640151,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n1,true,0.15208345510492402,0.7542458758323816,10,6183,false,0,1,0.24486701391518495,0.219915457707192,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n2,true,0.6229156246617318,0.8003528173131926,11,13833,false,0,1,0.4121270694795848,0.8972759475418117,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n3,false,0.008105658961768111,0.734053548110419,0,18800,false,0,0,0.5144337102074323,0.07595471670217813,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n4,false,0.8523753420428024,0.7797815630082817,0,3478,false,500,1,0.3302299236162659,0.840575071327416,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n6,false,0.5433872357062564,0.8436641981430812,0,18297,false,500,1,0.8462237315786152,0.7929599181749184,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n9,false,0.49798345447350095,0.3467547303406848,0,18800,false,0,0,0.6984883332339332,0.36557837127056514,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n10,false,0.4291744607483729,0.6052875139547479,0,753,false,501,4,0.6179265606682179,0.4620361204540254,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n12,false,0.8868656420487431,0.46931172469547855,0,199,false,501,4,0.08411280914527236,0.5597288968719627,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n13,false,0.8320215506099526,0.770227106546004,0,17492,false,500,2,0.032908705347140965,0.05722521380729462,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n15,true,0.29273865580821207,0.7453848249619409,11,12394,false,0,1,0.3777788934913462,0.8952486235541306,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n19,true,0.5778550765904442,0.8660997797776264,12,2470,false,0,1,0.025086569532347502,0.8345130043941151,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n23,true,0.3315053127922161,0.6869305902518238,10,634,false,500,2,0.7357288745401944,0.6071228680604048,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n26,false,0.6871127456735228,0.7283967725978981,0,18800,false,0,0,0.8628953556936059,0.5069426793701881,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n29,false,0.029345141820665648,0.6845589457431854,0,3627,false,503,8,0.5402437750472555,0.7207749337085737,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n35,false,0.09537456373069628,0.9640997661167149,0,2604,false,503,8,0.06949560417371914,0.36943808839464876,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n36,false,0.5089630399352858,0.6715736316996999,0,3671,false,501,4,0.47895824116147556,0.47494003247339733,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n37,false,0.7590373930714389,0.594046994672088,0,2920,false,502,6,0.22258278951592947,0.9176479534733712,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n39,true,0.8803520539534365,0.8209471485134687,9,3766,false,500,2,0.6282187731189162,0.8741847330930175,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n45,false,0.5575030317303808,0.5217542564532285,0,158,false,501,4,0.5718414816600195,0.5195569796655163,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n46,false,0.13128965047258687,0.5737464924266803,0,3135,false,501,6,0.4548321788886257,0.8787689766806486,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n47,false,0.5311083148182622,0.6467698614541888,0,2717,false,500,2,0.2790971915137339,0.9147152123803776,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n49,false,0.24342878682522165,0.7182334817296608,0,7237,false,500,2,0.3207904885745507,0.863332926291588,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n51,false,0.1589652058801347,0.9004304758613412,0,3134,false,501,4,0.6206798048686,0.9598607358584166,null
602342,3082458,65415,514213,22714,10311,55104,298183,216030,8005,14709,10057,254,14485,40619,62078,0,131844,84186,1470,6535,4152,10557,75606,3006852,11094,63968,544,5586,5508,4083,1503,5004,504,63931,37,22484,41447,37,0,0,544,0,0,544,0,1344947,1661905,461500,883447,780804,881101,n52,true,0.6893967243922577,0.9219078914931441,13,8913,false,0,1,0.8720173555187944,0.708859716393244,null
