rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1b2a,rtA1b2b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
122347,1014257,17714,91001,13632,268,17446,53239,37762,5274,8358,218,50,4395,13051,19105,0,15802,21960,1354,3920,1317,7041,49166,965091,11094,38069,3,5586,5508,4083,1503,5004,504,38069,0,10972,27097,0,0,0,3,0,0,3,0,440755,524336,155314,285441,250027,274309,n0,false,0.7996529047171743,0.746446853383712,0,5799,false,0,0,0.4980477120012749,0.4450878813640151,null
122347,1014257,17714,91001,13632,268,17446,53239,37762,5274,8358,218,50,4395,13051,19105,0,15802,21960,1354,3920,1317,7041,49166,965091,11094,38069,3,5586,5508,4083,1503,5004,504,38069,0,10972,27097,0,0,0,3,0,0,3,0,440755,524336,155314,285441,250027,274309,n1,false,0.14956177235762835,0.7542458758323816,0,5799,false,0,0,0.24486701391518495,0.219915457707192,null
122347,1014257,17714,91001,13632,268,17446,53239,37762,5274,8358,218,50,4395,13051,19105,0,15802,21960,1354,3920,1317,7041,49166,965091,11094,38069,3,5586,5508,4083,1503,5004,504,38069,0,10972,27097,0,0,0,3,0,0,3,0,440755,524336,155314,285441,250027,274309,n2,true,0.6229156246617318,0.8003528173131926,8,832,false,0,1,0.4121270694795848,0.8972759475418117,null
122347,1014257,17714,91001,13632,268,17446,53239,37762,5274,8358,218,50,4395,13051,19105,0,15802,21960,1354,3920,1317,7041,49166,965091,11094,38069,3,5586,5508,4083,1503,5004,504,38069,0,10972,27097,0,0,0,3,0,0,3,0,440755,524336,155314,285441,250027,274309,n3,false,0.007584091179911476,0.734053548110419,0,5799,false,0,0,0.5144337102074323,0.07595471670217813,null
122347,1014257,17714,91001,13632,268,17446,53239,37762,5274,8358,218,50,4395,13051,19105,0,15802,21960,1354,3920,1317,7041,49166,965091,11094,38069,3,5586,5508,4083,1503,5004,504,38069,0,10972,27097,0,0,0,3,0,0,3,0,440755,524336,155314,285441,250027,274309,n4,true,0.8424270162034311,0.7797815630082817,12,5799,false,0,0,0.3302299236162659,0.840575071327416,null
122347,1014257,17714,91001,13632,268,17446,53239,37762,5274,8358,218,50,4395,13051,19105,0,15802,21960,1354,3920,1317,7041,49166,965091,11094,38069,3,5586,5508,4083,1503,5004,504,38069,0,10972,27097,0,0,0,3,0,0,3,0,440755,524336,155314,285441,250027,274309,n6,false,0.48663422292025166,0.8436641981430812,0,5296,false,500,1,0.8462237315786152,0.7929599181749184,null
122347,1014257,17714,91001,13632,268,17446,53239,37762,5274,8358,218,50,4395,13051,19105,0,15802,21960,1354,3920,1317,7041,49166,965091,11094,38069,3,5586,5508,4083,1503,5004,504,38069,0,10972,27097,0,0,0,3,0,0,3,0,440755,524336,155314,285441,250027,274309,n9,false,0.4549362524231654,0.3467547303406848,0,5799,false,0,0,0.6984883332339332,0.36557837127056514,null
122347,1014257,17714,91001,13632,268,17446,53239,37762,5274,8358,218,50,4395,13051,19105,0,15802,21960,1354,3920,1317,7041,49166,965091,11094,38069,3,5586,5508,4083,1503,5004,504,38069,0,10972,27097,0,0,0,3,0,0,3,0,440755,524336,155314,285441,250027,274309,n10,true,0.4245813219606491,0.6052875139547479,8,1622,false,0,1,0.6179265606682179,0.4620361204540254,null
122347,1014257,17714,91001,13632,268,17446,53239,37762,5274,8358,218,50,4395,13051,19105,0,15802,21960,1354,3920,1317,7041,49166,965091,11094,38069,3,5586,5508,4083,1503,5004,504,38069,0,10972,27097,0,0,0,3,0,0,3,0,440755,524336,155314,285441,250027,274309,n12,false,0.8769531344467546,0.46931172469547855,0,5799,false,0,0,0.08411280914527236,0.5597288968719627,null
122347,1014257,17714,91001,13632,268,17446,53239,37762,5274,8358,218,50,4395,13051,19105,0,15802,21960,1354,3920,1317,7041,49166,965091,11094,38069,3,5586,5508,4083,1503,5004,504,38069,0,10972,27097,0,0,0,3,0,0,3,0,440755,524336,155314,285441,250027,274309,n13,false,0.828501265115841,0.770227106546004,0,4491,false,500,2,0.032908705347140965,0.05722521380729462,null
