rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1b2a,rtA1b2b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
607138,3097262,65415,519009,22714,10311,55104,300983,218026,8005,14709,10057,254,14485,40619,62378,0,133140,84886,1470,6535,4152,10557,75707,3021555,11094,64069,544,5586,5508,4083,1503,5004,504,64032,37,22485,41547,37,0,0,544,0,0,544,0,1351450,1670105,463603,887847,784804,885301,n0,true,0.8149425904683112,0.746446853383712,9,9353,false,0,1,0.4980477120012749,0.4450878813640151,null
607138,3097262,65415,519009,22714,10311,55104,300983,218026,8005,14709,10057,254,14485,40619,62378,0,133140,84886,1470,6535,4152,10557,75707,3021555,11094,64069,544,5586,5508,4083,1503,5004,504,64032,37,22485,41547,37,0,0,544,0,0,544,0,1351450,1670105,463603,887847,784804,885301,n1,true,0.15208345510492402,0.7542458758323816,10,6283,false,0,1,0.24486701391518495,0.219915457707192,null
607138,3097262,65415,519009,22714,10311,55104,300983,218026,8005,14709,10057,254,14485,40619,62378,0,133140,84886,1470,6535,4152,10557,75707,3021555,11094,64069,544,5586,5508,4083,1503,5004,504,64032,37,22485,41547,37,0,0,544,0,0,544,0,1351450,1670105,463603,887847,784804,885301,n2,true,0.6229156246617318,0.8003528173131926,11,13933,false,0,1,0.4121270694795848,0.8972759475418117,null
607138,3097262,65415,519009,22714,10311,55104,300983,218026,8005,14709,10057,254,14485,40619,62378,0,133140,84886,1470,6535,4152,10557,75707,3021555,11094,64069,544,5586,5508,4083,1503,5004,504,64032,37,22485,41547,37,0,0,544,0,0,544,0,1351450,1670105,463603,887847,784804,885301,n3,false,0.008109388403949288,0.734053548110419,0,18900,false,0,0,0.5144337102074323,0.07595471670217813,null
607138,3097262,65415,519009,22714,10311,55104,300983,218026,8005,14709,10057,254,14485,40619,62378,0,133140,84886,1470,6535,4152,10557,75707,3021555,11094,64069,544,5586,5508,4083,1503,5004,504,64032,37,22485,41547,37,0,0,544,0,0,544,0,1351450,1670105,463603,887847,784804,885301,n4,false,0.8527163586733186,0.7797815630082817,0,3578,false,500,1,0.3302299236162659,0.840575071327416,null
607138,3097262,65415,519009,22714,10311,55104,300983,218026,8005,14709,10057,254,14485,40619,62378,0,133140,84886,1470,6535,4152,10557,75707,3021555,11094,64069,544,5586,5508,4083,1503,5004,504,64032,37,22485,41547,37,0,0,544,0,0,544,0,1351450,1670105,463603,887847,784804,885301,n6,false,0.5438438704608263,0.8436641981430812,0,18397,false,500,1,0.8462237315786152,0.7929599181749184,null
607138,3097262,65415,519009,22714,10311,55104,300983,218026,8005,14709,10057,254,14485,40619,62378,0,133140,84886,1470,6535,4152,10557,75707,3021555,11094,64069,544,5586,5508,4083,1503,5004,504,64032,37,22485,41547,37,0,0,544,0,0,544,0,1351450,1670105,463603,887847,784804,885301,n9,false,0.49834711329629633,0.3467547303406848,0,18900,false,0,0,0.6984883332339332,0.36557837127056514,null
607138,3097262,65415,519009,22714,10311,55104,300983,218026,8005,14709,10057,254,14485,40619,62378,0,133140,84886,1470,6535,4152,10557,75707,3021555,11094,64069,544,5586,5508,4083,1503,5004,504,64032,37,22485,41547,37,0,0,544,0,0,544,0,1351450,1670105,463603,887847,784804,885301,n10,false,0.4294277471259185,0.6052875139547479,0,853,false,501,4,0.6179265606682179,0.4620361204540254,null
607138,3097262,65415,519009,22714,10311,55104,300983,218026,8005,14709,10057,254,14485,40619,62378,0,133140,84886,1470,6535,4152,10557,75707,3021555,11094,64069,544,5586,5508,4083,1503,5004,504,64032,37,22485,41547,37,0,0,544,0,0,544,0,1351450,1670105,463603,887847,784804,885301,n12,false,0.8869720717792973,0.46931172469547855,0,299,false,501,4,0.08411280914527236,0.5597288968719627,null
607138,3097262,65415,519009,22714,10311,55104,300983,218026,8005,14709,10057,254,14485,40619,62378,0,133140,84886,1470,6535,4152,10557,75707,3021555,11094,64069,544,5586,5508,4083,1503,5004,504,64032,37,22485,41547,37,0,0,544,0,0,544,0,1351450,1670105,463603,887847,784804,885301,n13,false,0.8320298708254588,0.770227106546004,0,17592,false,500,2,0.032908705347140965,0.05722521380729462,null
607138,3097262,65415,519009,22714,10311,55104,300983,218026,8005,14709,10057,254,14485,40619,62378,0,133140,84886,1470,6535,4152,10557,75707,3021555,11094,64069,544,5586,5508,4083,1503,5004,504,64032,37,22485,41547,37,0,0,544,0,0,544,0,1351450,1670105,463603,887847,784804,885301,n15,true,0.29273865580821207,0.7453848249619409,11,12494,false,0,1,0.3777788934913462,0.8952486235541306,null
607138,3097262,65415,519009,22714,10311,55104,300983,218026,8005,14709,10057,254,14485,40619,62378,0,133140,84886,1470,6535,4152,10557,75707,3021555,11094,64069,544,5586,5508,4083,1503,5004,504,64032,37,22485,41547,37,0,0,544,0,0,544,0,1351450,1670105,463603,887847,784804,885301,n19,true,0.5778550765904442,0.8660997797776264,12,2570,false,0,1,0.025086569532347502,0.8345130043941151,null
