rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1b2a,rtA1b2b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
915664,4258540,70068,755413,90183,14303,55765,450980,304433,37182,53001,11083,3220,14565,41200,94095,0,167601,136832,6680,30502,15999,37002,84850,4173690,11094,72859,897,5586,5508,4083,1503,5004,504,72821,38,26001,46820,38,0,192,705,190,2,705,0,1899245,2274445,667685,1231560,1064443,1210002,n0,false,0.8230340889872685,0.746446853383712,0,1888,false,500,2,0.4980477120012749,0.4450878813640151,null
915664,4258540,70068,755413,90183,14303,55765,450980,304433,37182,53001,11083,3220,14565,41200,94095,0,167601,136832,6680,30502,15999,37002,84850,4173690,11094,72859,897,5586,5508,4083,1503,5004,504,72821,38,26001,46820,38,0,192,705,190,2,705,0,1899245,2274445,667685,1231560,1064443,1210002,n1,false,0.15449462997165203,0.7542458758323816,0,6596,false,500,2,0.24486701391518495,0.219915457707192,null
915664,4258540,70068,755413,90183,14303,55765,450980,304433,37182,53001,11083,3220,14565,41200,94095,0,167601,136832,6680,30502,15999,37002,84850,4173690,11094,72859,897,5586,5508,4083,1503,5004,504,72821,38,26001,46820,38,0,192,705,190,2,705,0,1899245,2274445,667685,1231560,1064443,1210002,n2,false,0.626401192108762,0.8003528173131926,0,1386,false,500,2,0.4121270694795848,0.8972759475418117,null
915664,4258540,70068,755413,90183,14303,55765,450980,304433,37182,53001,11083,3220,14565,41200,94095,0,167601,136832,6680,30502,15999,37002,84850,4173690,11094,72859,897,5586,5508,4083,1503,5004,504,72821,38,26001,46820,38,0,192,705,190,2,705,0,1899245,2274445,667685,1231560,1064443,1210002,n3,true,0.008297981875033777,0.734053548110419,22,2887,false,0,1,0.5144337102074323,0.07595471670217813,null
915664,4258540,70068,755413,90183,14303,55765,450980,304433,37182,53001,11083,3220,14565,41200,94095,0,167601,136832,6680,30502,15999,37002,84850,4173690,11094,72859,897,5586,5508,4083,1503,5004,504,72821,38,26001,46820,38,0,192,705,190,2,705,0,1899245,2274445,667685,1231560,1064443,1210002,n4,false,0.8739794361739447,0.7797815630082817,0,5884,false,501,3,0.3302299236162659,0.840575071327416,null
915664,4258540,70068,755413,90183,14303,55765,450980,304433,37182,53001,11083,3220,14565,41200,94095,0,167601,136832,6680,30502,15999,37002,84850,4173690,11094,72859,897,5586,5508,4083,1503,5004,504,72821,38,26001,46820,38,0,192,705,190,2,705,0,1899245,2274445,667685,1231560,1064443,1210002,n6,false,0.5795615589217039,0.8436641981430812,0,25896,false,500,1,0.8462237315786152,0.7929599181749184,null
915664,4258540,70068,755413,90183,14303,55765,450980,304433,37182,53001,11083,3220,14565,41200,94095,0,167601,136832,6680,30502,15999,37002,84850,4173690,11094,72859,897,5586,5508,4083,1503,5004,504,72821,38,26001,46820,38,0,192,705,190,2,705,0,1899245,2274445,667685,1231560,1064443,1210002,n9,false,0.5252984543415851,0.3467547303406848,0,26399,false,0,0,0.6984883332339332,0.36557837127056514,null
915664,4258540,70068,755413,90183,14303,55765,450980,304433,37182,53001,11083,3220,14565,41200,94095,0,167601,136832,6680,30502,15999,37002,84850,4173690,11094,72859,897,5586,5508,4083,1503,5004,504,72821,38,26001,46820,38,0,192,705,190,2,705,0,1899245,2274445,667685,1231560,1064443,1210002,n10,false,0.4500025581488978,0.6052875139547479,0,1679,false,503,8,0.6179265606682179,0.4620361204540254,null
915664,4258540,70068,755413,90183,14303,55765,450980,304433,37182,53001,11083,3220,14565,41200,94095,0,167601,136832,6680,30502,15999,37002,84850,4173690,11094,72859,897,5586,5508,4083,1503,5004,504,72821,38,26001,46820,38,0,192,705,190,2,705,0,1899245,2274445,667685,1231560,1064443,1210002,n12,false,0.8925329791571718,0.46931172469547855,0,6346,false,502,6,0.08411280914527236,0.5597288968719627,null
915664,4258540,70068,755413,90183,14303,55765,450980,304433,37182,53001,11083,3220,14565,41200,94095,0,167601,136832,6680,30502,15999,37002,84850,4173690,11094,72859,897,5586,5508,4083,1503,5004,504,72821,38,26001,46820,38,0,192,705,190,2,705,0,1899245,2274445,667685,1231560,1064443,1210002,n13,false,0.8337456103856828,0.770227106546004,0,2950,false,504,10,0.032908705347140965,0.05722521380729462,null
