rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1b2a,rtA1b2b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
1022064,4818736,70182,825223,126659,14414,55768,496875,328348,52037,74622,11126,3288,14566,41202,105422,0,174289,154059,9669,42368,26078,48544,86411,4732325,11094,74376,941,5586,5508,4083,1503,5004,504,74330,46,26504,47826,46,0,192,749,190,2,749,0,2165048,2567277,760809,1404239,1183748,1383529,n0,false,0.836935943474874,0.746446853383712,0,5289,false,500,2,0.4980477120012749,0.4450878813640151,null
1022064,4818736,70182,825223,126659,14414,55768,496875,328348,52037,74622,11126,3288,14566,41202,105422,0,174289,154059,9669,42368,26078,48544,86411,4732325,11094,74376,941,5586,5508,4083,1503,5004,504,74330,46,26504,47826,46,0,192,749,190,2,749,0,2165048,2567277,760809,1404239,1183748,1383529,n1,false,0.15544303149811867,0.7542458758323816,0,420,false,502,6,0.24486701391518495,0.219915457707192,null
1022064,4818736,70182,825223,126659,14414,55768,496875,328348,52037,74622,11126,3288,14566,41202,105422,0,174289,154059,9669,42368,26078,48544,86411,4732325,11094,74376,941,5586,5508,4083,1503,5004,504,74330,46,26504,47826,46,0,192,749,190,2,749,0,2165048,2567277,760809,1404239,1183748,1383529,n2,false,0.6351181081514629,0.8003528173131926,0,4787,false,500,2,0.4121270694795848,0.8972759475418117,null
1022064,4818736,70182,825223,126659,14414,55768,496875,328348,52037,74622,11126,3288,14566,41202,105422,0,174289,154059,9669,42368,26078,48544,86411,4732325,11094,74376,941,5586,5508,4083,1503,5004,504,74330,46,26504,47826,46,0,192,749,190,2,749,0,2165048,2567277,760809,1404239,1183748,1383529,n3,true,0.008297981875033777,0.734053548110419,9,6288,false,0,1,0.5144337102074323,0.07595471670217813,null
1022064,4818736,70182,825223,126659,14414,55768,496875,328348,52037,74622,11126,3288,14566,41202,105422,0,174289,154059,9669,42368,26078,48544,86411,4732325,11094,74376,941,5586,5508,4083,1503,5004,504,74330,46,26504,47826,46,0,192,749,190,2,749,0,2165048,2567277,760809,1404239,1183748,1383529,n4,false,0.8839732395030127,0.7797815630082817,0,9285,false,501,3,0.3302299236162659,0.840575071327416,null
1022064,4818736,70182,825223,126659,14414,55768,496875,328348,52037,74622,11126,3288,14566,41202,105422,0,174289,154059,9669,42368,26078,48544,86411,4732325,11094,74376,941,5586,5508,4083,1503,5004,504,74330,46,26504,47826,46,0,192,749,190,2,749,0,2165048,2567277,760809,1404239,1183748,1383529,n6,false,0.5966327348818443,0.8436641981430812,0,29297,false,500,1,0.8462237315786152,0.7929599181749184,null
1022064,4818736,70182,825223,126659,14414,55768,496875,328348,52037,74622,11126,3288,14566,41202,105422,0,174289,154059,9669,42368,26078,48544,86411,4732325,11094,74376,941,5586,5508,4083,1503,5004,504,74330,46,26504,47826,46,0,192,749,190,2,749,0,2165048,2567277,760809,1404239,1183748,1383529,n9,false,0.5379558354101609,0.3467547303406848,0,29800,false,0,0,0.6984883332339332,0.36557837127056514,null
1022064,4818736,70182,825223,126659,14414,55768,496875,328348,52037,74622,11126,3288,14566,41202,105422,0,174289,154059,9669,42368,26078,48544,86411,4732325,11094,74376,941,5586,5508,4083,1503,5004,504,74330,46,26504,47826,46,0,192,749,190,2,749,0,2165048,2567277,760809,1404239,1183748,1383529,n10,false,0.45973174694939567,0.6052875139547479,0,5080,false,503,8,0.6179265606682179,0.4620361204540254,null
1022064,4818736,70182,825223,126659,14414,55768,496875,328348,52037,74622,11126,3288,14566,41202,105422,0,174289,154059,9669,42368,26078,48544,86411,4732325,11094,74376,941,5586,5508,4083,1503,5004,504,74330,46,26504,47826,46,0,192,749,190,2,749,0,2165048,2567277,760809,1404239,1183748,1383529,n12,false,0.8952593467088111,0.46931172469547855,0,9747,false,502,6,0.08411280914527236,0.5597288968719627,null
1022064,4818736,70182,825223,126659,14414,55768,496875,328348,52037,74622,11126,3288,14566,41202,105422,0,174289,154059,9669,42368,26078,48544,86411,4732325,11094,74376,941,5586,5508,4083,1503,5004,504,74330,46,26504,47826,46,0,192,749,190,2,749,0,2165048,2567277,760809,1404239,1183748,1383529,n13,false,0.8347300059631368,0.770227106546004,0,6351,false,504,10,0.032908705347140965,0.05722521380729462,null
1022064,4818736,70182,825223,126659,14414,55768,496875,328348,52037,74622,11126,3288,14566,41202,105422,0,174289,154059,9669,42368,26078,48544,86411,4732325,11094,74376,941,5586,5508,4083,1503,5004,504,74330,46,26504,47826,46,0,192,749,190,2,749,0,2165048,2567277,760809,1404239,1183748,1383529,n15,false,0.3038821812133735,0.7453848249619409,0,9931,false,500,2,0.3777788934913462,0.8952486235541306,null
1022064,4818736,70182,825223,126659,14414,55768,496875,328348,52037,74622,11126,3288,14566,41202,105422,0,174289,154059,9669,42368,26078,48544,86411,4732325,11094,74376,941,5586,5508,4083,1503,5004,504,74330,46,26504,47826,46,0,192,749,190,2,749,0,2165048,2567277,760809,1404239,1183748,1383529,n19,false,0.5784390021309379,0.8660997797776264,0,3989,false,500,2,0.025086569532347502,0.8345130043941151,null
