rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1b2a,rtA1b2b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
946501,4423899,70095,771871,104535,14327,55768,462398,309473,41941,62594,11085,3242,14566,41202,97615,0,169103,140370,8064,33877,20495,42099,85958,4337941,11094,73955,909,5586,5508,4083,1503,5004,504,73917,38,26501,47416,38,0,192,717,190,2,717,0,1976812,2361129,694334,1282478,1100624,1260505,n0,false,0.8271595438474643,0.746446853383712,0,2889,false,500,2,0.4980477120012749,0.4450878813640151,null
946501,4423899,70095,771871,104535,14327,55768,462398,309473,41941,62594,11085,3242,14566,41202,97615,0,169103,140370,8064,33877,20495,42099,85958,4337941,11094,73955,909,5586,5508,4083,1503,5004,504,73917,38,26501,47416,38,0,192,717,190,2,717,0,1976812,2361129,694334,1282478,1100624,1260505,n1,true,0.15465229410094036,0.7542458758323816,11,636,false,500,3,0.24486701391518495,0.219915457707192,null
946501,4423899,70095,771871,104535,14327,55768,462398,309473,41941,62594,11085,3242,14566,41202,97615,0,169103,140370,8064,33877,20495,42099,85958,4337941,11094,73955,909,5586,5508,4083,1503,5004,504,73917,38,26501,47416,38,0,192,717,190,2,717,0,1976812,2361129,694334,1282478,1100624,1260505,n2,false,0.6289180913149037,0.8003528173131926,0,2387,false,500,2,0.4121270694795848,0.8972759475418117,null
946501,4423899,70095,771871,104535,14327,55768,462398,309473,41941,62594,11085,3242,14566,41202,97615,0,169103,140370,8064,33877,20495,42099,85958,4337941,11094,73955,909,5586,5508,4083,1503,5004,504,73917,38,26501,47416,38,0,192,717,190,2,717,0,1976812,2361129,694334,1282478,1100624,1260505,n3,true,0.008297981875033777,0.734053548110419,9,3888,false,0,1,0.5144337102074323,0.07595471670217813,null
946501,4423899,70095,771871,104535,14327,55768,462398,309473,41941,62594,11085,3242,14566,41202,97615,0,169103,140370,8064,33877,20495,42099,85958,4337941,11094,73955,909,5586,5508,4083,1503,5004,504,73917,38,26501,47416,38,0,192,717,190,2,717,0,1976812,2361129,694334,1282478,1100624,1260505,n4,false,0.8769297005258473,0.7797815630082817,0,6885,false,501,3,0.3302299236162659,0.840575071327416,null
946501,4423899,70095,771871,104535,14327,55768,462398,309473,41941,62594,11085,3242,14566,41202,97615,0,169103,140370,8064,33877,20495,42099,85958,4337941,11094,73955,909,5586,5508,4083,1503,5004,504,73917,38,26501,47416,38,0,192,717,190,2,717,0,1976812,2361129,694334,1282478,1100624,1260505,n6,false,0.5845731026224797,0.8436641981430812,0,26897,false,500,1,0.8462237315786152,0.7929599181749184,null
946501,4423899,70095,771871,104535,14327,55768,462398,309473,41941,62594,11085,3242,14566,41202,97615,0,169103,140370,8064,33877,20495,42099,85958,4337941,11094,73955,909,5586,5508,4083,1503,5004,504,73917,38,26501,47416,38,0,192,717,190,2,717,0,1976812,2361129,694334,1282478,1100624,1260505,n9,false,0.5290148748520612,0.3467547303406848,0,27400,false,0,0,0.6984883332339332,0.36557837127056514,null
946501,4423899,70095,771871,104535,14327,55768,462398,309473,41941,62594,11085,3242,14566,41202,97615,0,169103,140370,8064,33877,20495,42099,85958,4337941,11094,73955,909,5586,5508,4083,1503,5004,504,73917,38,26501,47416,38,0,192,717,190,2,717,0,1976812,2361129,694334,1282478,1100624,1260505,n10,false,0.4528374522903077,0.6052875139547479,0,2680,false,503,8,0.6179265606682179,0.4620361204540254,null
946501,4423899,70095,771871,104535,14327,55768,462398,309473,41941,62594,11085,3242,14566,41202,97615,0,169103,140370,8064,33877,20495,42099,85958,4337941,11094,73955,909,5586,5508,4083,1503,5004,504,73917,38,26501,47416,38,0,192,717,190,2,717,0,1976812,2361129,694334,1282478,1100624,1260505,n12,false,0.8932383552707114,0.46931172469547855,0,7347,false,502,6,0.08411280914527236,0.5597288968719627,null
946501,4423899,70095,771871,104535,14327,55768,462398,309473,41941,62594,11085,3242,14566,41202,97615,0,169103,140370,8064,33877,20495,42099,85958,4337941,11094,73955,909,5586,5508,4083,1503,5004,504,73917,38,26501,47416,38,0,192,717,190,2,717,0,1976812,2361129,694334,1282478,1100624,1260505,n13,false,0.8340124503389241,0.770227106546004,0,3951,false,504,10,0.032908705347140965,0.05722521380729462,null
