id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,sociable,maxDegree,cigLimit
n0,false,0.019026348708161014,0.8146215833981901,11,true,7,0.9572930025476709,0.5021614632768566,10,70
n1,true,0.2697627376812709,0.48864016690441314,12,false,0,0.8468451046055682,0.7640351372087999,10,70
n2,false,0.11551204973273066,0.7244316389173926,0,true,9,0.7475620104842841,0.7453629067620611,10,70
n3,false,0.9421265333813,0.721699649801454,0,false,0,0.48214632574934096,0.33211565113892155,10,70
n5,true,0.04195902204912033,0.5377870572728664,20,false,0,0.3921495248238647,0.7931655024129203,10,70
n6,true,0.23014284229393173,0.47223665009862437,31,true,9,0.6762855981277324,0.7039991566242743,10,70
n7,true,0.276737634414548,0.5283067276392682,11,false,0,0.32632172226112865,0.6323091079970666,10,70
n9,false,0.910115068044009,0.4241575732486974,0,false,0,0.46734723597653843,0.7462043057946396,10,70
n14,false,0.3781338488926421,0.5349961002217618,0,true,9,0.935077880622673,0.5420002782974609,10,70
n18,true,0.5816039821072815,0.8409393764720359,12,false,0,0.24030643415621877,0.5622806674084062,10,70
n24,true,0.02390537670151277,0.4135265546126443,19,true,9,0.8883397751291818,0.7638946214058722,10,70
n35,false,0.018267445385073248,0.49300189708312925,12,true,9,0.9547240897359258,0.3961873920305472,10,70
n37,false,0.09739399172069801,0.5213809116439999,0,false,0,0.8714374555955859,0.6120223942341458,10,70
n40,false,0.8188411839531946,0.7025996719271497,0,true,9,0.1169816785387639,0.8840606433707139,10,70
n45,false,0.05186835401171058,0.5293195412084423,0,true,9,0.025238485032480915,0.4666869504387494,10,70
n51,true,0.03068646363519023,0.9258070133764963,13,false,0,0.12284476336443784,0.43766515250035365,10,70
n54,false,0.08475860715576115,0.6786836285600912,12,true,9,0.7811726368116106,0.5476505975187224,10,70
n57,false,0.05894457146733315,0.6132212873340623,15,true,3,0.8248134413354821,0.8074167551567313,10,70
n59,false,0.6905955078181508,0.374297286378818,0,false,0,0.5381636684234584,0.24885531765420826,10,70
n64,false,0.6744359869415326,0.8029668178393167,0,true,9,0.9563183781582559,0.83596385363804,10,70
n67,false,0.5828367487705093,0.7018407234895997,0,false,0,0.6627480574207251,0.6154789559875696,10,70
n70,false,0.10656830138716625,0.8738530175774449,19,true,1,0.6904444578753742,0.7560370919689053,10,70
n71,false,0.8226553183718328,0.6742524757475414,0,false,0,0.2956273052379647,0.8641859335725696,10,70
n73,false,0.42934210820454005,0.6342824199635788,0,true,9,0.17462844092898738,0.20033511309340918,10,70
n74,false,0.18527566602619272,0.5203392354450361,13,true,3,0.5069439263095703,0.8766334672111009,10,70
n76,false,0.8212846344738025,0.505129216220902,0,false,0,0.35860665353955384,0.38043262917926635,10,70
n77,false,0.4257168370052183,0.46418213543835457,0,false,0,0.33217209370276235,0.7646260024460599,10,70
n79,true,0.8319346888318524,0.623876201529064,18,false,0,0.9510171391214415,0.8683220827160086,10,70
n80,true,0.6966726970228065,0.4458424198727802,12,false,0,0.36876519411006703,0.6647309207050419,10,70
n83,false,0.7096832416420444,0.723709242260152,0,false,0,0.640761972185328,0.23350564829813342,10,70
n84,true,0.222826996500132,0.8525352874435791,12,false,0,0.27363301660763706,0.6768466461626663,10,70
n93,false,0.3378344010556862,0.5191609993565037,0,true,9,0.11950417959900275,0.7313255250094746,10,70
n95,true,0.5221413978581415,0.7692648718134195,12,false,0,0.2510620162274786,0.7219332371201753,10,70
n97,true,0.6935502506222688,0.9223659094169796,12,false,0,0.6382501259923354,0.6821363303681184,10,70
n98,false,0.06390949361161408,0.7165426015780096,0,true,9,0.04720213673059948,0.457074953366292,10,70
n100,false,0.5594238850700426,0.8249425634361083,0,false,0,0.19798560134154344,0.6404201721920716,10,70
