id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,sociable,maxDegree,cigLimit
n0,true,0.15414990605450346,0.33743126215285985,63,true,6,0.7577890513732629,0.2919186515376532,10,70
n1,true,0.17606619000472715,0.5182695882514419,66,true,16,0.6353806725253602,0.21478472870304927,10,70
n2,false,0.3729101916225695,0.42397625348234663,35,true,25,0.21173703417010595,0.2478002031489926,10,70
n3,true,0.29094965246516213,0.570666785950599,61,true,22,0.38107562819182395,0.7296890825349676,10,70
n5,true,0.27050245469275475,0.6245039914781317,53,true,16,0.47048439951154264,0.4857405691748031,10,70
n9,true,0.2777679365577616,0.7400774939553405,12,true,18,0.33203391576732544,0.6917263445461618,10,70
n10,true,0.06821199922690953,0.3061167766507197,12,true,6,0.8976811034776345,0.9820238315340131,10,70
n11,true,0.37156117816121903,0.5841016203836611,66,true,16,0.22774457102770862,0.9824021049548707,10,70
n12,false,0.28017411057975056,0.46574179206342203,66,true,4,0.5839448384440415,0.17330635195050414,10,70
n13,false,0.6368533253105909,0.6615124923753161,53,true,1,0.17899631556345502,0.30020295333633246,10,70
n14,false,0.31355995569401146,0.40044866232073256,66,true,6,0.5418630897278344,0.770498639942702,10,70
n21,true,0.0975071528686181,0.37668339022405223,64,true,17,0.7948373514079408,0.9344563465543282,10,70
n23,true,0.18618689501738933,0.49939170335488553,65,true,4,0.7124583685682379,0.40351399181246816,10,70
n28,true,0.1500075033248739,0.24284144791945297,12,false,0,0.6424899330068539,0.5547289175918917,10,70
n31,false,0.4047623690517157,0.4883616815427561,62,true,1,0.47490287258155806,0.8789249560420518,10,70
n36,true,0.4435106561150397,0.5631721397281936,56,true,7,0.295593996805467,0.4588065759528961,10,70
n37,true,0.49941362393653715,0.38443215203075515,67,true,2,0.295052552572632,0.8654919558170279,10,70
n39,false,0.40204220022163945,0.792744090173175,11,true,5,0.3480702318140156,0.8980142750691029,10,70
n40,true,0.15581114000350788,0.4961605815051584,61,true,28,0.7247475069112604,0.7970519063245577,10,70
n42,false,0.4198781774620639,0.32657400855306784,68,true,1,0.4377902369575755,0.9933855068768374,10,70
n45,true,0.139549241878613,0.4730480987709473,60,true,18,0.7699137089769093,0.2874274281872113,10,70
n46,true,0.15582254706343637,0.6229523094449994,63,true,10,0.6623838189780732,0.31413606527787086,10,70
n49,false,0.23743700195541206,0.7101898390541003,65,true,21,0.45498518219386686,0.9214033178920534,10,70
n51,true,0.4307352386216741,0.6549373115237855,65,true,13,0.08438115099407958,0.6608199992318599,10,70
n53,true,0.3176481021353923,0.7628220797643334,57,true,18,0.29298405292001095,0.5992138576114712,10,70
n59,false,0.3332772199228874,0.9915571791937181,0,false,0,0.5112387836620143,0.6491019202553683,10,70
n62,false,0.2948928962655883,0.4024044779497682,65,true,3,0.5453454901666122,0.8652993116006014,10,70
n69,true,0.028004630798064645,0.25921954753305043,19,true,97,0.9631078518578748,0.8778798632660132,10,70
n70,true,0.46565383452670955,0.2780228047150278,13,false,0,0.030503228843208996,0.3498005647264125,10,70
n73,true,0.2965959374473251,0.626185758929695,12,true,24,0.38462876561529513,0.7072770646141061,10,70
n75,false,0.5743070130283962,0.7804616193110993,12,true,2,0.15435660139353838,0.23289389919162606,10,70
n81,true,0.23041649552016125,0.5031475387046005,65,true,18,0.487818846140188,0.5215408723315194,10,70
n82,false,0.6680744727550798,0.9905860247103522,13,true,89,0.03085310881495086,0.6887959056325789,10,70
n86,false,0.26669008232012636,0.40448534480739085,65,true,1,0.6474786268182238,0.7727074508995686,10,70
n87,false,0.01984738132327611,0.2233793332719742,13,true,1,0.9743387392991986,0.5257762239908809,10,70
n88,true,0.19588562360481174,0.504137669796545,59,true,28,0.5857558465314259,0.32698732592140994,10,70
n89,false,0.3586345920708469,0.6266063483102685,12,true,1,0.5303594627643672,0.20531146047432902,10,70
n90,true,0.23003166153717164,0.4631924053543036,64,true,30,0.6148423814035239,0.45435371835700417,10,70
n93,true,0.054592436728901794,0.37124278554084633,22,false,0,0.23264933148942474,0.4802958079558961,10,70
n94,true,0.014918686652077127,0.3744147899550044,61,true,26,0.9745577542661109,0.6407864018782677,10,70
n96,false,0.13745560879549473,0.2171270062172454,66,true,1,0.8096768493600842,0.8958844715547162,10,70
n97,true,0.21590624242967812,0.5026569234905511,12,true,26,0.5181894397926614,0.6196541050952564,10,70
n98,true,0.02453506963587739,0.16119922357424676,44,true,86,0.9621449304158967,0.47973727862505733,10,70
n100,true,0.38281542369605054,0.7735795916456865,12,true,41,0.2900200425888009,0.6009398063312101,10,70
n101,false,0.7936958509818857,0.9911150918412311,0,true,119,0.0236842719214806,0.7839858038191736,10,70
n102,true,0.37459574090198255,0.8798102701067048,61,true,26,0.2545968407272744,0.41241282472839275,10,70
n105,true,0.34514967588236767,0.6173615017784149,63,true,6,0.4810511755853915,0.536931664902309,10,70
n106,true,0.1983985042165092,0.5965804450177963,62,true,19,0.5778543528749646,0.376030666573735,10,70
n108,true,0.2608928409876712,0.5833749717449601,17,true,8,0.611098424773214,0.8850598038953195,10,70
n109,true,0.3946088630387262,0.9208232819266979,62,true,17,0.11371001003012333,0.8003835511582763,10,70
n111,false,0.029155518591075045,0.2591449721665014,47,true,17,0.9458460679414339,0.663666362434212,10,70
n113,true,0.21022181177392815,0.5016995120507014,58,true,7,0.5969149366616826,0.5046042271427726,10,70
n114,true,0.08233953709447527,0.37219518330264467,12,true,21,0.8211081537918206,0.7528637127611912,10,70
n116,true,0.30017573539046977,0.5544532574110455,52,true,20,0.36090335871033996,0.4835228998819606,10,70
n117,false,0.49942982105707123,0.7782802392678101,58,true,1,0.2980986298657378,0.25384269068674464,10,70
n118,true,0.034391888574598226,0.17972244282909708,56,true,8,0.9453697824867872,0.6179168159489843,10,70
n126,true,0.19202377402555273,0.4648741978153458,62,true,15,0.5809634772277175,0.8722529685894471,10,70
n132,true,0.3390005711279169,0.38578690791688325,13,true,29,0.46265745709037126,0.2832277789138245,10,70
n144,true,0.22961119601146646,0.4170804071946653,12,true,31,0.6177315683223231,0.7817824782040448,10,70
n145,true,0.2761007078382442,0.35052298299288526,12,true,3,0.5373442224938579,0.9968284912671325,10,70
n149,true,0.34971340384281585,0.5448940508080063,12,true,23,0.3235861050497481,0.6017513707683142,10,70
n150,false,0.4358618957903408,0.799415578870275,61,true,7,0.30156593552164185,0.8108547284114193,10,70
n153,true,0.5143160878536996,0.7495628833682921,67,true,33,0.24172913972398452,0.8520653012945569,10,70
n167,true,0.1134931902560019,0.3781064367075296,59,true,13,0.7798167934610052,0.7170178917900477,10,70
n168,true,0.4189467747175775,0.4871065363832043,58,true,5,0.31172998694796683,0.5466756647721434,10,70
n169,true,0.13016842515162702,0.34624442318965887,13,true,49,0.7907088002230871,0.9600857362359201,10,70
n170,true,0.28487514042567647,0.3464020352680609,56,true,61,0.44652174543260936,0.16954991191083946,10,70
n172,true,0.167972938005571,0.3465089219928837,51,true,9,0.7487878847960016,0.07766604433657343,10,70
n174,true,0.39123608864090914,0.9083935394924412,63,true,27,0.24341294868497598,0.6709521951224003,10,70
n177,true,0.27065214074417887,0.1498416653509733,15,false,0,0.8762330345340241,0.38138894204186735,10,70
n179,true,0.005895475346178007,0.11985367749442594,48,true,98,0.989518165420973,0.6885595687812964,10,70
n181,true,0.41256392443233475,0.8694520368239906,66,true,29,0.25391178667114744,0.6686519588934156,10,70
n183,true,0.09213029937462784,0.34043277827650925,13,true,24,0.8169078047660014,0.7607548172114285,10,70
n186,true,0.3086869943067436,0.6989454338896833,12,true,21,0.3033302053279176,0.43085435348307777,10,70
n193,true,0.22268743564178275,0.48535651194275126,12,true,26,0.4984164299863407,0.6001306520657642,10,70
n197,true,0.1512317291891323,0.42384482888049574,50,true,9,0.7397668458799799,0.5159929051591956,10,70
n200,true,0.3572300154903858,0.6622742668580937,59,true,23,0.3241120839659285,0.3205764635980816,10,70
n203,true,0.14167486672795365,0.2435617260858004,31,true,44,0.7276829101084379,0.39988437970503266,10,70
n206,true,0.14017773677582507,0.46701860234072,67,true,7,0.7703249041882007,0.8645278377943606,10,70
n208,true,0.5767071488398584,0.7925685624376008,11,true,7,0.08186703623102276,0.9163341137637964,10,70
n215,false,0.44997760865941167,0.4643669836394399,23,true,11,0.1091657746894447,0.6872146794247791,10,70
n221,true,0.363107066299966,0.6347916184234815,62,true,5,0.4461435984481841,0.6567773022866255,10,70
n224,true,0.3295747893723534,0.7076411749253264,70,true,18,0.32832276388409715,0.726780468429434,10,70
n226,false,0.5332233909319891,0.8563010205695049,60,true,4,0.15357559774582982,0.7343297408849218,10,70
n232,true,0.10213778084108682,0.23438551476767674,12,false,0,0.2981499822719797,0.061932647838279786,10,70
n234,true,0.20194850563057093,0.44153886049720653,53,true,19,0.5352625582019511,0.8431040202142099,10,70
n236,true,0.359974180283164,0.6770617886223276,56,true,7,0.41270601908765625,0.664807880869651,10,70
n237,true,0.10669712226357196,0.4055306013263162,11,true,20,0.7719502498902588,0.4847169402365343,10,70
