nullstepsSinceGiveUp0,stepsSinceGiveUp1,stepsSinceGiveUp2,stepsSinceGiveUp3,stepsSinceGiveUp4,stepsSinceGiveUp5,stepsSinceGiveUp6,stepsSinceGiveUp7,stepsSinceGiveUp8,stepsSinceGiveUp9,stepsSinceGiveUp10,stepsSinceGiveUp11,stepsSinceGiveUp12
0,8,13,2,11,17,28,37,5,14,1,11,4
0,0,4,15,24,0,5,14,25,6,16,26,37
0,4,7,3,12,13,24,4,4,13,23,6,3
0,0,2,5,14,4,6,1,3,12,22,2,2
0,10,1,4,3,19,6,4,15,9,19,29,5
0,0,13,24,9,3,14,5,2,11,1,11,4
0,10,30,41,1,5,16,25,36,45,55,10,21
0,3,4,15,24,12,23,32,5,14,24,34,45
0,0,7,18,27,0,1,10,8,17,27,2,8
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,6,1,10,10,21,30,1,2,12,3,14
0,3,8,4,8,12,23,32,43,52,62,72,83
0,0,16,2,1,8,19,7,18,27,1,7,7
0,0,15,26,35,0,6,1,6,6,16,26,6
0,0,2,13,22,0,0,2,13,22,32,7,18
0,0,25,5,14,0,0,0,9,4,14,5,16
0,9,18,29,38,18,29,3,14,23,33,43,9
0,0,15,26,35,0,4,6,4,5,3,3,6
0,5,5,1,2,14,3,5,2,11,7,8,9
0,10,30,41,50,19,30,39,50,59,69,10,21
0,5,5,16,25,4,15,24,35,4,14,3,14
0,0,13,5,1,0,0,8,19,28,1,2,4
0,10,6,17,2,19,30,39,50,59,2,12,23
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,90,101,110,10,21,30,41,50,60,70,81
0,0,14,9,6,0,0,0,0,1,11,21,5
0,0,2,1,10,7,2,11,4,1,3,7,2
0,0,2,13,22,0,0,7,18,1,11,8,19
0,0,12,23,32,9,20,5,2,7,17,8,3
0,10,6,4,6,19,30,39,8,17,27,8,19
0,0,12,11,20,0,0,1,12,21,7,6,3
0,0,2,13,3,0,0,5,9,18,28,38,49
0,0,7,18,4,0,11,20,31,40,4,14,25
0,5,36,11,7,14,25,34,1,10,6,16,27
0,10,5,16,25,19,30,1,12,21,31,41,52
0,0,19,30,2,1,12,21,4,13,23,33,10
0,3,27,4,5,12,2,5,10,3,3,7,18
0,10,11,5,14,19,30,9,20,8,2,8,2
0,1,42,5,14,10,21,30,41,2,12,22,33
