id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxInDegree,maxOutDegree,cigLimit
n0,false,0.17769457342022754,0.3873222959672676,48,true,2,0.6546171623281596,0.35179282869891404,0.3137502029708105,10,10,70
n1,false,0.1792944752985213,0.9963014955999666,12,true,633,0.7005312156212645,0.6576956432698503,0.7790466882185748,10,10,70
n2,false,0.07977506057410906,0.45988174322434366,46,true,55,0.8028588948974101,0.2897042764592115,0.08385111359433461,10,10,70
n3,false,0.23148638548324518,0.556955086737426,12,true,5,0.4319106910910479,0.5698443828908497,0.7847956145077855,10,10,70
n6,true,0.2469906307885402,0.4837605702016681,64,true,16,0.5694708297039706,0.5720608329886051,0.9432259779761604,10,10,70
n7,false,0.26086595493839637,0.9951089003509255,11,true,705,0.9666337429977007,0.5781651588205228,0.6159236791706676,10,10,70
n10,false,0.0,0.9971975927231593,68,true,682,1.1264079974415921,0.441414318122126,0.26778140167051895,10,10,70
n12,false,0.01700717040326838,0.04990099479198288,13,true,27,1.0400243665999798,0.38433041493676934,0.994347000273657,10,10,70
n13,false,0.30375093568881895,0.689100290222479,63,true,2,0.3494542429474834,0.8535170628860118,0.45692110582250967,10,10,70
n14,true,0.19833695346142438,0.41814611139374575,12,true,4,0.644436159933119,0.4840764299277884,0.5148170726518162,10,10,70
n15,true,0.03312284602351112,6.291869527543205E-4,12,false,0,0.9949293612758265,0.08482827088292699,0.29796672160002013,10,10,70
n16,false,0.3367236604646113,0.5916664421657302,13,true,18,0.22676594341871095,0.6243224267234246,0.6041366501893312,10,10,70
n17,false,0.13295454303092,0.18108254819577466,69,true,2,0.7717937541781957,0.5256097069487539,0.5195176422071042,10,10,70
n19,false,0.18834199631006326,0.9980857973334896,24,true,673,1.220136295339898,0.4723135736199274,0.5370688467722563,10,10,70
n21,true,0.0,0.18074180454555572,69,true,136,0.5475973527361992,0.15581582980147934,0.9747147726375545,10,10,70
n23,true,0.0,0.026955576547162227,12,true,341,0.5581544370941693,0.1614534817254053,0.9239047439183581,10,10,70
n26,false,0.1442740196954948,0.9995899220029569,12,true,541,1.3442812873396872,0.9257106700767039,0.5195437847504979,10,10,70
n27,false,0.12565888172162604,0.23112308104160426,13,true,8,0.7961191398139291,0.1309894715961073,0.6724819693626816,10,10,70
n31,true,0.09518373354587462,7.007158883532252E-4,12,false,0,0.9004147072938931,0.867910840842915,0.9869101837514325,10,10,70
n32,true,0.5082548124931916,0.7567107305238833,26,true,9,0.32264892094317665,0.361973111820204,0.39725384621055615,10,10,70
n33,false,0.4741823232403845,0.5291716394119603,15,true,5,0.4327077245716133,0.28835245730092296,0.7592801441833575,10,10,70
n47,false,0.8972823112239781,0.9952130498430837,32,true,677,0.20187457013643942,0.7956170986895756,0.4068366719880556,10,10,70
n48,true,0.5915138347682329,8.459791746717701E-4,12,false,0,0.41031388903840327,0.1211623514776698,0.36855550688053956,10,10,70
n57,false,0.14272564953540492,0.9973744922057806,43,true,405,0.7494400014340385,0.22235855470358679,0.7930035046700659,10,10,70
n60,false,0.0,0.9982128411475725,47,true,501,0.8205616684632329,0.3879334197429633,0.4084483080655505,10,10,70
n63,true,0.24302241874654865,0.4358475250276889,68,true,17,0.5704863090806905,0.8454584942898764,0.7530766167079266,10,10,70
