id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxInDegree,maxOutDegree,cigLimit
n0,true,0.16087606271751728,0.5376824906620248,57,true,7,0.622711022655378,0.35179282869891404,0.3137502029708105,10,10,70
n1,false,0.1792944752985213,0.9963014955999666,12,true,473,0.5970010507286656,0.6576956432698503,0.7790466882185748,10,10,70
n2,false,0.08677227594991632,0.4729409045776777,58,true,8,0.7448765136167335,0.2897042764592115,0.08385111359433461,10,10,70
n3,true,0.21850399224178987,0.8375645510524728,13,true,10,0.4125052025624869,0.5698443828908497,0.7847956145077855,10,10,70
n6,true,0.25699833820806756,0.4155426103507067,51,true,12,0.5341899778073655,0.5720608329886051,0.9432259779761604,10,10,70
n7,false,0.26086595493839637,0.9951089003509255,11,true,545,0.823776795909982,0.5781651588205228,0.6159236791706676,10,10,70
n10,false,0.0,0.9971975927231593,68,true,522,0.9599383197013236,0.441414318122126,0.26778140167051895,10,10,70
n12,true,0.03149700419527807,0.06394666258465996,67,true,36,0.9726583587211649,0.38433041493676934,0.994347000273657,10,10,70
n13,true,0.40817193458010276,0.848435348412496,44,true,52,0.33043422174305764,0.8535170628860118,0.45692110582250967,10,10,70
n14,false,0.17669091726888098,0.44757016574392405,12,true,7,0.6124175045254048,0.4840764299277884,0.5148170726518162,10,10,70
n15,true,0.03312284602351112,0.0031415832490964083,12,false,0,0.9949293612758265,0.08482827088292699,0.29796672160002013,10,10,70
n16,false,0.2784631972712065,0.7652493513247464,11,true,4,0.21165463716195387,0.6243224267234246,0.6041366501893312,10,10,70
n17,true,0.19118810381935802,0.3903246112877063,56,true,31,0.7475030203624464,0.5256097069487539,0.5195176422071042,10,10,70
n19,false,0.18834199631006326,0.9980857973334896,24,true,513,1.0398146922034037,0.4723135736199274,0.5370688467722563,10,10,70
n21,true,0.058239391793534545,0.6820574700970895,41,true,18,0.5410692395857667,0.15581582980147934,0.9747147726375545,10,10,70
n23,true,0.0,0.13459145549600596,12,true,181,0.5581544370941693,0.1614534817254053,0.9239047439183581,10,10,70
n26,false,0.1442740196954948,0.9995899220029569,12,true,381,1.1456125339182042,0.9257106700767039,0.5195437847504979,10,10,70
n27,false,0.10408638915263622,0.49818730554668755,70,true,3,0.771062810961625,0.1309894715961073,0.6724819693626816,10,10,70
n31,true,0.09518373354587462,0.003498733226411589,12,false,0,0.9004147072938931,0.867910840842915,0.9869101837514325,10,10,70
n32,false,0.5241375457255995,0.7859022704671002,23,true,8,0.30326432330527586,0.361973111820204,0.39725384621055615,10,10,70
n33,false,0.602135509522573,0.4455490041863648,12,true,10,0.4014596274841793,0.28835245730092296,0.7592801441833575,10,10,70
n47,false,0.8972823112239781,0.9952130498430837,32,true,517,0.17203991456679016,0.7956170986895756,0.4068366719880556,10,10,70
n48,true,0.5915138347682329,0.004224045003792372,12,false,0,0.41031388903840327,0.1211623514776698,0.36855550688053956,10,10,70
n57,false,0.14272564953540492,0.9973744922057806,43,true,245,0.6386817008824129,0.22235855470358679,0.7930035046700659,10,10,70
n60,false,0.0,0.9982128411475725,47,true,341,0.6992924331370036,0.3879334197429633,0.4084483080655505,10,10,70
n63,true,0.22974121244916168,0.617268563925142,12,true,14,0.5464925397653602,0.8454584942898764,0.7530766167079266,10,10,70
n64,true,0.23813408297486746,0.6143130768355894,62,true,21,0.4415282804926927,0.5827102207858595,0.7001790080831253,10,10,70
n67,false,0.022667101711920434,0.9959847186902945,0,false,0,0.6520476364683293,0.2782911787298923,0.5996693374095357,10,10,70
n71,true,0.8202274194191335,0.0031169049469574415,13,false,0,0.3392041240616891,0.6698135956764979,0.7536323752721391,10,10,70
n78,false,0.6484652989393277,0.9908447186927473,17,true,543,0.23271438249106943,0.6162676601457423,0.45510733003319737,10,10,70
n79,true,0.0,0.2001527836901649,37,true,23,0.8203567867640407,0.7223428393761139,0.3970394190182467,10,10,70
n83,false,0.9205892084083267,0.9945468979181376,11,true,552,0.1377387750399456,0.49911075546257644,0.1421606347749994,10,10,70
n84,false,0.73839735429084,0.9988549424526518,0,true,559,0.5551715082948006,0.7402702223381492,0.9440283575829727,10,10,70
n85,true,0.2133936566328067,0.37095918381478826,62,true,16,0.5662964616333725,0.7758076260436706,0.8088424281675619,10,10,70
n86,true,0.5505745244587605,0.002836170313418592,12,false,0,0.3559930566898836,0.6368480973990779,0.8682943370671746,10,10,70
n91,false,0.1654164317525818,0.993089401823735,61,true,482,1.0822457068883438,0.875694053731439,0.8434474137925033,10,10,70
n96,false,0.6933776761050333,0.9995400069368505,0,true,559,0.007643160760702156,0.8134030047290588,0.4940421510194676,10,10,70
n102,true,0.25162474980144467,0.04710988715538745,12,true,236,0.4257074293188938,0.23488476073720627,0.649297834681258,10,10,70
n106,false,0.5272494159337967,0.9917395778944004,12,true,313,0.21363456328276023,0.8683949430788136,0.9770919323691594,10,10,70
n111,false,0.2562828638517821,0.5467177618345883,12,true,26,0.4121783490052362,0.7173977430806232,0.5688734788009673,10,10,70
n113,true,0.5803386244160782,0.5505280481570464,12,true,2,0.4192417142083379,0.2819641546815121,0.3567270059940405,10,10,70
n114,true,0.8422176373822001,0.0021035431196114495,11,false,0,0.7816081075567185,0.9804650938426113,0.5528374813152007,10,10,70
n117,false,0.06492319359933653,0.9973212560171422,30,true,498,1.456661415856124,0.6133106341324527,0.5010930243577976,10,10,70
n118,true,0.23256131280987588,0.6217579579945084,59,true,31,0.5770614372956578,0.5292421226711266,0.9138936312779053,10,10,70
n122,true,0.5308215118425419,0.006745813538069774,12,true,474,0.4710575480001809,0.8263037904109011,0.8271623564936543,10,10,70
n128,true,0.36163520916627667,0.003546554850997481,12,false,0,0.423122089340202,0.6561720374338001,0.7002947887080608,10,10,70
n129,false,0.4824835017254797,0.9994457902164949,11,true,384,0.5230473211852539,0.7234256534562271,0.9694547389433343,10,10,70
n130,false,0.0,0.24805148228166204,11,true,236,0.501617843120976,0.09855024950751257,0.45080224758365695,10,10,70
n131,true,0.10098530147895808,0.25560388413671703,65,true,18,0.648492390965964,0.8157690059556613,0.29013411818629553,10,10,70
n137,true,0.3542938480066148,2.63585391152015E-4,12,false,0,0.8732456163084639,0.13516504209167424,0.8232568272587789,10,10,70
n143,false,0.2865911622388404,0.990860149537903,11,true,542,0.24080530582720833,0.6815669057892326,0.9002600415909121,10,10,70
n145,true,0.26170942295274824,0.4356434462905339,57,true,4,0.45742973625970934,0.5382409228613267,0.7951961731391968,10,10,70
n147,true,0.010994544319363177,0.0050322435525554255,12,true,248,0.9813003729578684,0.8508986052328871,0.8052266380998692,10,10,70
n150,false,0.452151760586634,0.9998671676371861,0,true,559,0.13726651722442842,0.462340143426587,0.3036205772613491,10,10,70
n152,false,0.016364720298951172,0.996191249527231,66,true,244,1.2373593214783871,0.10035657273692955,0.5106658748673112,10,10,70
n155,false,0.07510846663557355,0.04674117745542712,13,true,17,0.8889217996318654,0.4693129105104116,0.9357601154272503,10,10,70
n167,true,0.4934975322516815,0.001669814355451488,12,false,0,0.14972743904584296,0.38740422118175843,0.7565948795715257,10,10,70
n170,true,0.13064840217336882,0.6622494622928712,12,true,12,0.544904228413028,0.4445835916893724,0.8680818676104476,10,10,70
n172,true,0.08019449450009769,0.13318043451040856,65,true,27,0.9179230854920802,0.29456097891225475,0.986904829018621,10,10,70
n176,false,0.0,0.04632611315096966,43,true,146,1.1480948971578693,0.15330481553667807,0.454281820367032,10,10,70
n177,false,0.23300474936398574,0.6651661839929436,12,true,5,0.3021915020344304,0.7605322902533087,0.5419015413237838,10,10,70
