id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxInDegree,maxOutDegree,cigLimit
n0,true,0.24098697467823763,0.406754211543917,49,true,21,0.5601163487697143,0.35179282869891404,0.3137502029708105,10,10,70
n1,false,0.1792944752985213,0.9963014955999666,12,true,254,0.4796363921370484,0.6576956432698503,0.7790466882185748,10,10,70
n2,true,0.08816435275493374,0.502664353210018,68,true,10,0.6774067598643709,0.2897042764592115,0.08385111359433461,10,10,70
n3,true,0.2375187525454767,0.5619625533715985,11,true,37,0.36808495959970866,0.5698443828908497,0.7847956145077855,10,10,70
n6,false,0.37170380806496445,0.4689702696260975,60,true,3,0.4981013229498379,0.5720608329886051,0.9432259779761604,10,10,70
n7,false,0.26086595493839637,0.9951089003509255,11,true,326,0.6618302092336825,0.5781651588205228,0.6159236791706676,10,10,70
n10,false,0.0,0.9971975927231593,68,true,303,0.771223688423461,0.441414318122126,0.26778140167051895,10,10,70
n12,true,0.034045899579748115,0.17399610054338166,11,true,33,0.9234003431135105,0.38433041493676934,0.994347000273657,10,10,70
n13,false,0.3679032982733555,0.7917073055642141,57,true,18,0.29990479691718924,0.8535170628860118,0.45692110582250967,10,10,70
n14,true,0.2686637884992929,0.46627932665823535,12,true,20,0.5664949810688208,0.4840764299277884,0.5148170726518162,10,10,70
n15,true,0.03312284602351112,0.02838186668455786,12,false,0,0.9949293612758265,0.08482827088292699,0.29796672160002013,10,10,70
n16,false,0.42338771798973573,0.9904510659346004,13,true,27,0.1882967804124483,0.6243224267234246,0.6041366501893312,10,10,70
n17,false,0.17278208768322156,0.506709373249687,11,true,2,0.693524675962836,0.5256097069487539,0.5195176422071042,10,10,70
n19,false,0.18834199631006326,0.9980857973334896,24,true,294,0.8353971351487742,0.4723135736199274,0.5370688467722563,10,10,70
n21,false,0.19018970936835086,0.5159731873273271,54,true,5,0.4857087765730628,0.15581582980147934,0.9747147726375545,10,10,70
n23,false,0.1994245203773674,0.5801245479036382,62,true,15,0.5422104354723786,0.1614534817254053,0.9239047439183581,10,10,70
n26,false,0.1442740196954948,0.9995899220029569,12,true,162,0.9203961398139047,0.9257106700767039,0.5195437847504979,10,10,70
n27,true,0.2054221093110479,0.32763898122539364,44,true,26,0.6873442777686337,0.1309894715961073,0.6724819693626816,10,10,70
n31,true,0.09518373354587462,0.03160845093804462,12,false,0,0.9004147072938931,0.867910840842915,0.9869101837514325,10,10,70
n32,true,0.43584031858156175,0.818754263666092,24,true,14,0.2766238797710353,0.361973111820204,0.39725384621055615,10,10,70
n33,true,0.3638416494868181,0.38770811914130365,68,true,11,0.3629138362846702,0.28835245730092296,0.7592801441833575,10,10,70
n47,false,0.8972823112239781,0.9952130498430837,32,true,298,0.13821852377925647,0.7956170986895756,0.4068366719880556,10,10,70
n48,true,0.5915138347682329,0.038161103068553005,12,false,0,0.41031388903840327,0.1211623514776698,0.36855550688053956,10,10,70
n57,false,0.14272564953540492,0.8590879950686701,43,true,26,0.5131230277757441,0.22235855470358679,0.7930035046700659,10,10,70
n60,false,0.0,0.5176217095103951,47,true,122,0.5618182736348496,0.3879334197429633,0.4084483080655505,10,10,70
n63,true,0.249506756761797,0.5703508799757208,12,true,5,0.5014869714754094,0.8454584942898764,0.7530766167079266,10,10,70
n64,false,0.25440737607967223,0.7073033048019366,11,true,5,0.40801076022669364,0.5827102207858595,0.7001790080831253,10,10,70
