id,isSmoker,willpower,health,smokedPerDay,givingUp,stepsSinceGiveUp,influenceability,persuasiveness,sociable,maxInDegree,maxOutDegree,cigLimit
n0,false,0.176241937152236,0.5202019321849511,49,true,14,0.6371901188473474,0.35179282869891404,0.3137502029708105,10,10,70
n1,false,0.1792944752985213,0.9963014955999666,12,true,534,0.634532427946805,0.6576956432698503,0.7790466882185748,10,10,70
n2,false,0.08304810894103587,0.3899092255356183,46,true,12,0.7591565067831787,0.2897042764592115,0.08385111359433461,10,10,70
n3,false,0.21922462475985355,0.6124319597641597,12,true,7,0.417899645973496,0.5698443828908497,0.7847956145077855,10,10,70
n6,true,0.27399411893817494,0.3940718849421316,67,true,13,0.546064743580767,0.5720608329886051,0.9432259779761604,10,10,70
n7,false,0.26086595493839637,0.9951089003509255,11,true,606,0.875564774562802,0.5781651588205228,0.6159236791706676,10,10,70
n10,false,0.0,0.9971975927231593,68,true,583,1.0202862992214325,0.441414318122126,0.26778140167051895,10,10,70
n12,true,0.013670820639417547,0.08023877311886866,13,true,55,1.0133453990554033,0.38433041493676934,0.994347000273657,10,10,70
n13,false,0.30982197877805817,0.7730476842388734,12,true,4,0.3371050556639628,0.8535170628860118,0.45692110582250967,10,10,70
n14,true,0.22136615380218508,0.5288944237345887,12,true,5,0.6304253539193618,0.4840764299277884,0.5148170726518162,10,10,70
n15,true,0.03312284602351112,0.0017017487609429832,12,false,0,0.9949293612758265,0.08482827088292699,0.29796672160002013,10,10,70
n16,false,0.14204514184878173,0.9896093332183412,12,true,9,0.22050787090393076,0.6243224267234246,0.6041366501893312,10,10,70
n17,true,0.08341765902255827,0.28540757406068595,60,true,40,0.7557652783047496,0.5256097069487539,0.5195176422071042,10,10,70
n19,false,0.18834199631006326,0.9980857973334896,24,true,574,1.105184221122015,0.4723135736199274,0.5370688467722563,10,10,70
n21,true,0.0,0.48884856971294854,69,true,37,0.5475973527361992,0.15581582980147934,0.9747147726375545,10,10,70
n23,true,0.0,0.07290618279484344,12,true,242,0.5581544370941693,0.1614534817254053,0.9239047439183581,10,10,70
n26,false,0.1442740196954948,0.9995899220029569,12,true,442,1.2176332047425398,0.9257106700767039,0.5195437847504979,10,10,70
n27,true,0.058881979327584245,0.3791443369325362,50,true,36,0.7795846990582023,0.1309894715961073,0.6724819693626816,10,10,70
n31,true,0.09518373354587462,0.001895211573536518,12,false,0,0.9004147072938931,0.867910840842915,0.9869101837514325,10,10,70
n32,false,0.34745622549234156,0.9861317451888522,23,true,31,0.31437413562962996,0.361973111820204,0.39725384621055615,10,10,70
n33,false,0.4916880811787373,0.3979209707601398,15,true,1,0.40997430258551526,0.28835245730092296,0.7592801441833575,10,10,70
n47,false,0.8972823112239781,0.9952130498430837,32,true,578,0.18285546492855537,0.7956170986895756,0.4068366719880556,10,10,70
n48,true,0.5915138347682329,0.00228810213876668,12,false,0,0.41031388903840327,0.1211623514776698,0.36855550688053956,10,10,70
n57,false,0.14272564953540492,0.9973744922057806,43,true,306,0.6788333954378634,0.22235855470358679,0.7930035046700659,10,10,70
n60,false,0.0,0.9982128411475725,47,true,402,0.7432545133742526,0.3879334197429633,0.4084483080655505,10,10,70
n63,true,0.28138871625460027,0.46046846950875164,56,true,18,0.550877609000519,0.8454584942898764,0.7530766167079266,10,10,70
n64,true,0.3258239055322662,0.48660216310426124,12,true,12,0.4464076629964981,0.5827102207858595,0.7001790080831253,10,10,70
n67,false,0.022667101711920434,0.9959847186902945,0,false,0,0.6930396008520091,0.2782911787298923,0.5996693374095357,10,10,70
n71,true,0.8202274194191335,0.0016883808929741046,13,false,0,0.3392041240616891,0.6698135956764979,0.7536323752721391,10,10,70
n78,false,0.6484652989393277,0.9908447186927473,17,true,604,0.24734432537424916,0.6162676601457423,0.45510733003319737,10,10,70
n79,true,0.0,0.10841977583818423,37,true,84,0.8203567867640407,0.7223428393761139,0.3970394190182467,10,10,70
n83,false,0.9205892084083267,0.9945468979181376,11,true,613,0.14639793220102423,0.49911075546257644,0.1421606347749994,10,10,70
n84,false,0.73839735429084,0.9988549424526518,0,true,620,0.590073207836441,0.7402702223381492,0.9440283575829727,10,10,70
n85,false,0.20662877020804665,0.29383965289734115,12,true,4,0.5737009280188075,0.7758076260436706,0.8088424281675619,10,10,70
n86,true,0.5505745244587605,0.0015363111316790852,12,false,0,0.3559930566898836,0.6368480973990779,0.8682943370671746,10,10,70
n91,false,0.1654164317525818,0.993089401823735,61,true,543,1.1502827259494688,0.875694053731439,0.8434474137925033,10,10,70
n96,false,0.6933776761050333,0.9995400069368505,0,true,620,0.008123659663172552,0.8134030047290588,0.4940421510194676,10,10,70
n102,true,0.25162474980144467,0.025518722802555946,12,true,297,0.4257074293188938,0.23488476073720627,0.649297834681258,10,10,70
n106,false,0.5272494159337967,0.9917395778944004,12,true,374,0.22706502437091297,0.8683949430788136,0.9770919323691594,10,10,70
n111,false,0.24526892857944071,0.7140061263199728,63,true,4,0.428990234359788,0.7173977430806232,0.5688734788009673,10,10,70
n113,false,0.5803436603248877,0.5117444704025511,12,true,5,0.4213374846508958,0.2819641546815121,0.3567270059940405,10,10,70
n114,true,0.8422176373822001,0.0011394579145462805,11,false,0,0.7816081075567185,0.9804650938426113,0.5528374813152007,10,10,70
n117,false,0.06492319359933653,0.9973212560171422,30,true,559,1.5482366467721782,0.6133106341324527,0.5010930243577976,10,10,70
n118,true,0.18326331417132186,0.6136964323825581,69,true,30,0.5922529041497787,0.5292421226711266,0.9138936312779053,10,10,70
n122,true,0.5308215118425419,0.0036541065188275593,12,true,535,0.4710575480001809,0.8263037904109011,0.8271623564936543,10,10,70
n128,true,0.36163520916627667,0.0019211158338831857,12,false,0,0.423122089340202,0.6561720374338001,0.7002947887080608,10,10,70
n129,false,0.4824835017254797,0.9994457902164949,11,true,445,0.5559294849442301,0.7234256534562271,0.9694547389433343,10,10,70
n130,false,0.0,0.4551406520243745,11,true,297,0.5331528102144916,0.09855024950751257,0.45080224758365695,10,10,70
n131,false,0.15157919399404832,0.3405590163815897,55,true,7,0.6756179706088138,0.8157690059556613,0.29013411818629553,10,10,70
n137,true,0.3542938480066148,1.427802726299321E-4,12,false,0,0.8732456163084639,0.13516504209167424,0.8232568272587789,10,10,70
n143,false,0.2865911622388404,0.990860149537903,11,true,603,0.2559438968868042,0.6815669057892326,0.9002600415909121,10,10,70
n145,false,0.24001698196415447,0.43868179332546603,64,true,2,0.46900235947645164,0.5382409228613267,0.7951961731391968,10,10,70
n147,true,0.010994544319363177,0.0027258912310496974,12,true,309,0.9813003729578684,0.8508986052328871,0.8052266380998692,10,10,70
n150,false,0.452151760586634,0.9998671676371861,0,true,620,0.14589598518111335,0.462340143426587,0.3036205772613491,10,10,70
n152,false,0.016364720298951172,0.996191249527231,66,true,305,1.315147793361484,0.10035657273692955,0.5106658748673112,10,10,70
n155,false,0.07510846663557355,0.08576368819797542,13,true,78,0.9448052178246646,0.4693129105104116,0.9357601154272503,10,10,70
n167,true,0.4934975322516815,9.045135159832826E-4,12,false,0,0.14972743904584296,0.38740422118175843,0.7565948795715257,10,10,70
n170,true,0.2072166184496124,0.5570118401455686,12,true,10,0.553686729652013,0.4445835916893724,0.8680818676104476,10,10,70
n172,true,0.04103845725395988,0.09171100405600206,12,true,28,0.9271428060858805,0.29456097891225475,0.986904829018621,10,10,70
n176,false,0.0,0.08500210178685977,43,true,207,1.2202716255151473,0.15330481553667807,0.454281820367032,10,10,70
n177,false,0.2315912878937858,0.6060628887420597,44,true,11,0.30829216954927413,0.7605322902533087,0.5419015413237838,10,10,70
n182,false,0.10839441037476627,0.9934789609558771,62,true,432,1.038181437846312,0.2786224915054748,0.7161571269061124,10,10,70
n188,false,0.01958462868142821,0.3582375955604035,12,true,41,0.8573386058099568,0.3686698882400238,0.8868769689001899,10,10,70
n197,false,0.17816213342338544,0.9992277962807253,13,true,484,0.9709218128027004,0.8344140167259009,0.4736573973151897,10,10,70
n198,false,0.38623464338436975,0.9959138844669626,0,false,0,0.20141265753609358,0.058786072047289806,0.9021585861779615,10,10,70
